feature_size,sample_size,avg_cpu_time,std_cpu_time,avg_gpu_time,std_gpu_time,avg_speedup,std_speedup
64,32,0.05950744666666636,0.0015526668894104568,0.4794714000000004,0.26374998198916744,0.1353005188281414,0.022936729226333736
64,64,0.0803076833333338,0.002346385813453738,0.43194308333333375,0.03576926512370406,0.1870070944330444,0.014701837208126808
64,128,0.14200663333333097,0.005180495523118432,0.4310667766666668,0.02836044748727152,0.33102319082492837,0.027670274689812837
64,256,0.36457310000000026,0.007509682652831877,0.4303321000000011,0.02962543105435671,0.8511688438224572,0.06237209923131485
64,512,0.8135541166666693,0.016558120635655257,0.6166561166666659,0.039366849577368634,1.325031757549685,0.09765222774308223
64,1024,2.2223435833333345,0.15188237473799138,0.7344741766666687,0.04177094871573243,3.033223056773399,0.24596309764529004
128,32,0.06194160333332851,0.0023239530058586392,0.4526495199999999,0.03947751900510986,0.13756968372282274,0.009716498501633959
128,64,0.08685696999999475,0.0018622123167079906,0.443235603333333,0.034073535678295505,0.1971051250473859,0.0159375859149462
128,128,0.1438754733333364,0.002422522916292588,0.4324919466666662,0.03390939499297066,0.3345915682396738,0.02630465047645537
128,256,0.2506526766666866,0.00495576536993625,0.43242965666666655,0.03406488727186586,0.5826076943641205,0.040622539106970654
128,512,0.6520837166666714,0.0404261091635535,0.6193073999999986,0.09330086442956154,1.0707822829336908,0.13432567548359958
128,1024,2.456347486666675,0.1395105913134876,0.7728775566666665,0.0457274095941049,3.1861841808033637,0.21866223965412165
256,32,0.06106329999999692,0.0019780950838401263,0.4555817599999955,0.044833669030409584,0.13512101881045127,0.012457494426760552
256,64,0.08615061666666103,0.002922253947407926,0.4593362033333468,0.04991395123967326,0.18916229598135734,0.01672612404116171
256,128,0.14312438666667807,0.003241784174421452,0.43581925666666166,0.03723758044934653,0.3304390259185742,0.025957297489043057
256,256,0.24936127666665772,0.005512871262331563,0.4816896766666673,0.041093285472211055,0.5208083208061486,0.03938841756932124
256,512,0.6640377399999883,0.040745756243406206,0.6165056999999934,0.0743077440628414,1.087481854601045,0.10226104132841296
256,1024,2.543225430000007,0.14001929304315094,0.799159473333331,0.06046850007490124,3.191402232180575,0.18137709182108955
512,32,0.06754373333334722,0.00198453083056426,0.44035685333333274,0.03287033480044291,0.15407673471768948,0.010690191650721874
512,64,0.08822808999998415,0.001954065853794334,0.44523359666667756,0.042208742738885315,0.19969393346940287,0.01741462318820258
512,128,0.1461687666666421,0.0027682341378913217,0.4863930333333352,0.046236855831274834,0.30296850389356467,0.02741253068456636
512,256,0.2594034466666775,0.005923471601479869,0.47378707999998065,0.03679137586058176,0.5506422246028244,0.043744091536747874
512,512,0.6631862333333401,0.027361678803468098,0.5657428366666788,0.05939020338636434,1.1842714536680967,0.12745184149654937
512,1024,2.5332062799999977,0.10102088653898719,0.7908540233333573,0.06223878047109384,3.2192317008608713,0.2480467339108075
1024,32,0.06867219999999179,0.0019823942116421953,0.44415552333330954,0.03344375371383462,0.15524146860917595,0.009580422716168626
1024,64,0.09021701666667922,0.0020596785333721226,0.4879829933333364,0.030976098020407194,0.18557820000687386,0.012219839327975022
1024,128,0.15634734666665887,0.004334424044104766,0.4838183599999942,0.04294988943229196,0.3254485930112461,0.02808587451708753
1024,256,0.27782366999999797,0.004430639799754197,0.4794832333333261,0.04037796200732576,0.5832944680570045,0.04848093497683358
1024,512,0.6998053533333102,0.013139740403455667,0.6097754633333277,0.021352338901607957,1.1491367124029859,0.04883306539743042
1024,1024,2.611499820000002,0.1137471826583308,0.7758680666666502,0.04037378397179719,3.374648605471163,0.22421598125080047
2048,32,0.07092990999998013,0.002198927784836076,0.49670906666667636,0.034769597959811445,0.14343726464579482,0.010528042114841117
2048,64,0.09903247000000495,0.0024122819860269715,0.48289430333337197,0.030779997197549574,0.20580988360184524,0.01282098267566217
2048,128,0.17462916666664416,0.00546250079736074,0.5073341100000032,0.046777932199946366,0.34693899671191014,0.03233914696498219
2048,256,0.321713779999997,0.010155409055525892,0.5224409366666957,0.054875679679006965,0.6212521712311284,0.05699359591290138
2048,512,0.8692958466666217,0.03887116502449446,0.6463897233333682,0.03553751353004987,1.347570405043245,0.07516361081113195
2048,1024,3.0117430000000693,0.2032854313592317,0.7772517333333326,0.05453602386407004,3.885944782518241,0.29068828032916305
