feature_size,sample_size,iteration,cpu_time,gpu_time,speedup,min_pearson_1,mean_pearson_1,min_pearson_2,mean_pearson_2,min_pearson_1_val,mean_pearson_1_val,min_pearson_2_val,mean_pearson_2_val
64,32,0,0.059150200000000375,2.0505215999999997,0.028846416443504122,0.9999999431669905,0.9999999919692897,0.9999999328321267,0.9999999863625805,0.9724338248491545,0.9953160232081076,0.9696943712855426,0.9949209912155439
64,32,1,0.05855159999999948,0.3836914999999994,0.152600722194783,0.9355913547330362,0.9977594050771158,0.9483397020639694,0.9982057593860107,0.9317673509023722,0.9909806594739471,0.9696112424517276,0.9914660875899327
64,32,2,0.05738750000000081,0.39569070000000117,0.14503120745572398,0.9999999253576852,0.9999999889481187,0.9999998900369796,0.9999999903981208,0.9774991190206785,0.9926463796302973,0.9641610430171356,0.990212324710973
64,32,3,0.056062100000000115,0.38279750000000057,0.1464536732867901,0.9999995371173642,0.9999999662993548,0.9999995641303616,0.9999999704297502,0.9752972781712399,0.9941407347056159,0.9687499302084932,0.9938775659880617
64,32,4,0.059834699999999685,0.37913390000000113,0.15781944057231365,0.9999999449475988,0.9999999940455285,0.9999999396197597,0.9999999986661854,0.8516200940722174,0.9906367862414214,0.9100163421348819,0.992568855093657
64,32,5,0.05826089999999873,0.39345499999999944,0.14807512930322098,0.9999984666970615,0.9999999193897692,0.9999984880593822,0.999999910416468,0.9647332469862414,0.9927680633168253,0.9779812394960836,0.9935464021540454
64,32,6,0.05869519999999895,0.409370899999999,0.14337902376548772,0.9641652455091758,0.9988055034869785,0.9755331752941464,0.9991844352882292,0.8800088871775411,0.9836218693699841,0.9215642940484434,0.9862202892593207
64,32,7,0.059713199999999134,0.4356290000000005,0.13707351898059833,0.9650236085107844,0.9988341137002913,0.973905264686054,0.9991301634821563,0.9749162311964958,0.9953457773497142,0.9805307475457933,0.9957861812353069
64,32,8,0.05782589999999743,0.46695689999999956,0.12383562594320265,0.9999999130304109,0.9999999858249201,0.9999998876740392,0.9999999888320205,0.9651243076297011,0.9956476256079587,0.9580501924450765,0.9947285419874141
64,32,9,0.0603978000000005,0.44164650000000094,0.13675598017871843,0.9999999288913635,0.9999999877033292,0.9999999361967421,0.9999999907045658,0.9620444005776035,0.9914224807693991,0.9576574081240085,0.9914344918877794
