feature_size,sample_size,iteration,cpu_time,gpu_time,speedup,min_pearson_1,mean_pearson_1,min_pearson_2,mean_pearson_2,min_pearson_1_val,mean_pearson_1_val,min_pearson_2_val,mean_pearson_2_val
64,32,0,0.05899569999999965,1.8606113999999998,0.03170769565315985,0.9999999187805244,0.9999999885738746,0.9999999454350306,0.9999999911422227,0.9638948463849104,0.995167940540027,0.9806005202215509,0.9960498219554083
64,32,1,0.05844200000000033,0.3866082000000004,0.15116596078407096,0.9987220393456376,0.9999573659012518,0.9989760450552888,0.9999658321736432,0.8992811411723792,0.9910304559993511,0.9389582264199214,0.9932814513177072
64,32,2,0.05867199999999961,0.40070840000000096,0.14642068895985078,0.9999991331528052,0.9999999423382064,0.9999991640072147,0.9999999396945587,0.9633870382000962,0.9954479054814538,0.9658452637078009,0.995003369662786
64,32,3,0.0615584000000009,0.4550086000000011,0.13529062967161665,0.999999592275513,0.9999999686218773,0.9999995741208544,0.9999999600000316,0.967763858051966,0.995399578146169,0.9658378844363571,0.9953416649774667
64,32,4,0.05545970000000011,0.39476840000000024,0.14048667522527153,0.9999998381203398,0.9999999883264548,0.9999998424559542,0.9999999794660689,0.9532335124176787,0.9928378310322548,0.9452296479837066,0.9934069566051548
64,32,5,0.05904549999999986,0.38771230000000045,0.1522920474795352,0.9999999097397428,0.9999999916823914,0.9999999256814808,0.9999999894857344,0.9739473700786865,0.9948233144599666,0.9646700513042904,0.9945299041233717
64,32,6,0.059210499999998945,0.4207596999999996,0.14072284013891775,0.9999999462801855,0.9999999906418284,0.9999999145886307,0.9999999852249528,0.9640900658397485,0.993678881428736,0.9632023524621258,0.9939648514877533
64,32,7,0.060141599999999684,0.4466985999999995,0.13463574768311284,0.9999996719697944,0.9999999653137859,0.9999996512355116,0.9999999708817263,0.9479807833162945,0.9938700496008294,0.9778748669263474,0.9956055141213229
64,32,8,0.058200400000000485,0.4436953999999993,0.13117197068078817,0.9942237240322331,0.9998073570813222,0.996425517498737,0.999880756673979,0.9593939154861364,0.9933515026637091,0.956284737894812,0.9933371127811159
64,32,9,0.05963829999999959,0.40077460000000187,0.14880758411336276,0.9999999530697002,0.9999999911826687,0.9999999526752463,0.999999991556942,0.8553451064506908,0.984823802544534,0.8512834003278077,0.9863986236449722
64,32,10,0.05923089999999931,0.46879630000000105,0.1263467736413431,0.9999999491074294,0.9999999884051284,0.9999999465002217,0.9999999845181582,0.9434730549245843,0.9936133471903261,0.9364539263050778,0.9929349278696704
64,32,11,0.060675299999999766,0.4937908999999969,0.12287650501457224,0.9999963099981793,0.9999997463241729,0.9999962416300244,0.999999749634004,0.8916284717328107,0.9836095916728541,0.9446084508768195,0.9881393329242202
64,32,12,0.06087189999999865,0.479633800000002,0.12691328259184068,0.8897085380187064,0.9963236108425849,0.9036660732073802,0.9967888657407539,0.9764238702504029,0.9952161052877283,0.9510264270362482,0.9942577572494911
64,32,13,0.05689489999999964,0.5126701000000011,0.11097760528651761,0.99559130396193,0.9998530232572013,0.9966017299839296,0.9998866973685158,0.9403506492845463,0.9918851182474611,0.9402521066585954,0.9925231095357275
64,32,14,0.05815199999999976,0.49380170000000234,0.11776387161080953,0.9999999319487423,0.9999999936278959,0.9999999228447036,0.9999999917998924,0.9344090610157062,0.9902873755218946,0.9559252313907471,0.990054673552106
64,32,15,0.059841699999999776,0.5273317999999989,0.11348016561868618,0.9999999218604365,0.9999999923137748,0.9999999163224343,0.999999985554202,0.9720442547456741,0.9938771833847903,0.9516490301987448,0.993311256125201
64,32,16,0.059703800000001195,0.3971541000000016,0.15032905363434734,0.9999999016501301,0.9999999812669638,0.999999929510742,0.9999999901458705,0.9017763060167838,0.9926223503474964,0.9701308374762203,0.9958102078143479
64,32,17,0.06006869999999864,0.40331310000000187,0.14893813268152797,0.9999999425110286,0.9999999878700173,0.9999999433205229,0.9999999949071533,0.9515237766307756,0.9923183007117611,0.9506750154754201,0.9932186737362553
64,32,18,0.05946379999999962,0.3927505000000018,0.15140349916804524,0.9984703047872774,0.9999490072107576,0.9988791288637585,0.9999626340269268,0.9071260401065669,0.9924631496084426,0.9490557099945915,0.9937882437459594
64,32,19,0.060240099999994356,0.4273946000000066,0.14094726512687203,0.9999999497457164,0.9999999961462884,0.9999999488526431,0.9999999921640307,0.8999742744560543,0.986503500788368,0.8920250425305205,0.9858040890813713
64,32,20,0.058634700000006035,0.39740669999999767,0.14754331016564737,0.9999998912279079,0.9999999887401728,0.9999998729784307,0.9999999826006484,0.9799363337034938,0.9967684248518484,0.9867650379023215,0.9968884169519612
64,32,21,0.061814300000001765,0.39709859999999964,0.15566486509900015,0.9999999070303566,0.9999999838950765,0.9999999085393784,0.9999999767377816,0.9644489213671459,0.9954013951356958,0.9432530591829749,0.9942696644049425
64,32,22,0.06265390000000082,0.4492386999999951,0.13946683578240587,0.9999999299619479,0.9999999906336838,0.9999999163684303,0.9999999856835969,0.9459968219878351,0.9919734973783652,0.9038442606979823,0.9899566619177034
64,32,23,0.06163959999999946,0.407287800000006,0.15134163115123644,0.9999998921277301,0.9999999910699309,0.9999998851823995,0.9999999879140495,0.9809626168094818,0.9966618335195886,0.9605755353176749,0.9957810016298161
64,32,24,0.06137689999999907,0.41057879999999614,0.14948872177521014,0.999998795753164,0.9999999091022277,0.9999988416946812,0.9999999144584201,0.9613888996570803,0.9922346840188873,0.9682195581408279,0.9935984133222606
64,32,25,0.05725259999999821,0.4017473000000038,0.14250898512571875,0.9999997739450137,0.9999999767253539,0.999999789078726,0.9999999736036104,0.9366658012115511,0.9956922275841293,0.9631740219732456,0.9957054261547633
64,32,26,0.05911199999999894,0.43809859999999645,0.13492852978758532,0.9999999052288834,0.9999999830078301,0.999999884058794,0.9999999837749407,0.9650725975631201,0.9950173555964205,0.9631945582094372,0.9947666182030174
64,32,27,0.05820999999999543,0.4466044999999994,0.13033903599268595,0.999999963234587,0.9999999982762495,0.9999999435688152,0.9999999976437589,0.9743789409281853,0.9941832989656382,0.9767781894939424,0.9938454063524181
64,32,28,0.06044299999999936,0.42420580000000285,0.14248508624822892,0.9999998402980567,0.9999999861426337,0.9999998317835807,0.9999999836943932,0.9597680716940119,0.9955497469150525,0.9548218826218194,0.9940421125845754
64,32,29,0.05957920000000172,0.4178926999999959,0.14257056895227485,0.9999995227058821,0.9999999568817414,0.999999507306808,0.9999999559059741,0.9541544449523086,0.9905046547103117,0.8574577613291289,0.9889632734242869
64,64,0,0.08143030000000095,0.3969723999999957,0.20512836660685188,0.7934979282051025,0.9879393971323461,0.8027862017755961,0.9886690542037501,0.9996254762272677,0.9999499085667988,0.99946581197166,0.9999393027383385
64,64,1,0.0791240000000002,0.4482958000000039,0.17649953445916625,0.3873150870616878,0.9446730294053883,0.4166842327737594,0.9494502842821162,0.9996178877390165,0.9999425147345153,0.9996811328802195,0.9999440730154295
64,64,2,0.07921249999999702,0.411578200000001,0.19246038784366332,0.9841860379812495,0.9993147198419625,0.9855116912073225,0.9993753114329806,0.9992062671685588,0.999938804995297,0.9994277782234278,0.9999465391531766
64,64,3,0.07741550000000075,0.4243521000000001,0.18243223021637156,0.47871096445639155,0.9786729926371631,0.531203379634624,0.9808642803229,0.9995564816973055,0.9999596180143121,0.9997391791165997,0.9999610320744932
64,64,4,0.08308099999999996,0.4076014999999984,0.20382898492768128,0.7868976834658643,0.992337340974348,0.8037734950116765,0.9929417524466543,0.99945770208338,0.999920404620327,0.9995223276607366,0.9999263969189175
64,64,5,0.07674790000000087,0.49093930000000086,0.15632869481013384,0.6051712830355209,0.9407149539607095,0.6158453893717815,0.9440253943070244,0.9997652713824691,0.9999578134535371,0.9996949587727868,0.9999588300912602
64,64,6,0.07932540000000188,0.4570912000000007,0.1735439229632987,0.7736705923460502,0.9922453530267457,0.7900405109356686,0.9927989012596911,0.9996760161284383,0.9999471983047523,0.9995494265667335,0.9999415456390821
64,64,7,0.07931520000000347,0.40330829999999906,0.196661462211424,0.6789990066991823,0.9828408146856261,0.7047553431138974,0.9841718035604764,0.9998319661255733,0.9999697093634814,0.9997759205877784,0.9999671914969335
64,64,8,0.07963329999999758,0.4326788999999991,0.18404710745080877,0.3160044154598027,0.9691071786709576,0.35275126000933266,0.9709450993539029,0.9991753642767051,0.9999431404302203,0.9991784946087191,0.9999353913099683
64,64,9,0.08199180000000439,0.42886120000000005,0.19118493349364404,0.612064012741617,0.9712764377554084,0.663390180936082,0.9740907720442781,0.9984067056613259,0.9998370232570716,0.9971866604349524,0.9998113893004206
