feature_size,sample_size,avg_cpu_time,std_cpu_time,avg_gpu_time,std_gpu_time,avg_speedup,std_speedup
64,32,0.058033426666666416,0.001854251484437612,0.48310778999999987,0.2721074793696423,0.1306765323202119,0.02062584302377315
64,64,0.08289307666666587,0.00253363500034186,0.42826175333333555,0.031322840984593356,0.19443175965162016,0.013463095794739406
64,128,0.14535719,0.0034775110846260557,0.43895358666666767,0.03592570769690981,0.3334365226036548,0.02998735268518582
64,256,0.3495193366666664,0.0074769132080676915,0.42662483000000295,0.029354278119585495,0.8226566080601797,0.05387956580886233
64,512,0.8395297999999997,0.02354710058740105,0.6241231099999955,0.03762184428138292,1.3507026029297637,0.10404335199916627
64,1024,2.4125525899999976,0.25407658806848216,0.7554140133333325,0.05514447590008012,3.1933375089984577,0.22001092241157638
128,32,0.06022601333333455,0.0018648216469635936,0.46772653333333664,0.04616244240421676,0.12972521566585388,0.010848751033771446
128,64,0.08324562333333271,0.0022289862137646853,0.4561091299999949,0.02178544160031602,0.18290710967285437,0.009808422737652757
128,128,0.1388295333333474,0.00428594520289909,0.4661095366666681,0.03984334409940262,0.29944600285632345,0.02092120579671686
128,256,0.25979658666667926,0.01607147092858956,0.501758056666669,0.051984259068515136,0.5208004546563387,0.0376565196081468
128,512,0.70718744666666,0.029828219958404307,0.6825333699999911,0.040604650644700764,1.0385644339084705,0.05896745899395166
128,1024,2.4930625266666726,0.09628541841493361,0.8039987566666658,0.041057045072359306,3.1078526479778734,0.18294045023741345
256,32,0.06180548000000196,0.003320576244796415,0.4759746633333369,0.052842601638301026,0.1309690125712017,0.012210377047546524
256,64,0.08470604000000322,0.002192377049534279,0.467993240000006,0.03647082072302054,0.182109898106884,0.015544901045844791
256,128,0.1374980733333359,0.003304421567412251,0.4698679966666608,0.042306561916188506,0.29465934326111326,0.024453914290999638
256,256,0.2564656366666668,0.012399411288169866,0.5489985533333235,0.050681212754048466,0.4697404454129971,0.03367506659014125
256,512,0.706118079999995,0.03305007875295568,0.6663555333333154,0.06245002163170177,1.0655932916549749,0.07569579872134113
256,1024,2.490610700000002,0.158998134763369,0.7920519933333481,0.050124750653212084,3.1494356281757945,0.18283716873723374
512,32,0.06921001666668568,0.002341453354166193,0.46911749666666464,0.05682060898125749,0.14922071213101945,0.015579857089977101
512,64,0.08766355333330011,0.001984954738239908,0.4586330533333088,0.03133641784037926,0.1920382182677174,0.014227432594020826
512,128,0.14264354999998735,0.006195509063213969,0.5202441866666732,0.05284520530222093,0.27598492318055323,0.019901676625113655
512,256,0.2748463166667155,0.015895916386361248,0.5625331099999887,0.05843004402368629,0.4924529786510203,0.04681245265777091
512,512,0.7633797366666613,0.036507747593950014,0.6847911800000247,0.04770864668658605,1.117223863509744,0.05277104968060826
512,1024,2.7544974366666413,0.10256748686031789,0.8190360600000152,0.04641257445643642,3.370837239263653,0.1827208527845746
1024,32,0.07034137666665477,0.002956393313115851,0.48190367999999734,0.051290768339392445,0.14717889180672658,0.013112944603363631
1024,64,0.09275340333332073,0.004576204358409079,0.5131772166666678,0.04700295187718378,0.18167366683449854,0.01250990378436451
1024,128,0.16040703000002546,0.00523788342064947,0.5244061866667001,0.04523526498561737,0.3076527786994498,0.023212691972834206
1024,256,0.3023505366666389,0.01048849296960278,0.5702293366666709,0.036019553878578955,0.531974115951979,0.03392884512780068
1024,512,0.8131966933333766,0.02932695543208952,0.7026520100000122,0.04011612490709479,1.1597393654920924,0.05732251857482595
1024,1024,2.6889330066666846,0.26570387725097055,0.7969828766666599,0.05388458954546789,3.378984082027577,0.30955261293546665
2048,32,0.07310823000002528,0.0015653777437717499,0.48272220999996684,0.04054246003811241,0.15234489121119585,0.011656239990445983
2048,64,0.10117061666669543,0.004415457780773983,0.48427558333332854,0.035304045013388324,0.20993906210135468,0.016817617938212896
2048,128,0.17594543000000157,0.004872894112634324,0.48371498999999857,0.039530631418011726,0.36598805778932486,0.03011195760342394
2048,256,0.3314323966666507,0.0302362424190696,0.5522403233333535,0.07687914408901982,0.6056886693793507,0.05395353122996411
2048,512,0.958522956666684,0.05408713336939478,0.7176243766666478,0.044702004302969625,1.3391027184472968,0.09397449372445303
2048,1024,3.362739623333361,0.22365636339669973,0.8214456099999855,0.04651909268767382,4.102682479619182,0.3102132781100989
