feature_size,sample_size,avg_cpu_time,std_cpu_time,avg_gpu_time,std_gpu_time,avg_speedup,std_speedup
64,32,0.05927554333333314,0.0017533908409598994,0.48861130000000014,0.297225106207722,0.13359037461368078,0.022604717827896328
64,64,0.07997541666666805,0.0017934933008124545,0.44853046999999957,0.03471603023903128,0.17936884583794763,0.01483055825591634
64,128,0.14389533666666712,0.0031273416798299485,0.43885427666666504,0.03055032815724739,0.32938767394506707,0.023274260625494588
64,256,0.3681563966666668,0.010428271875270833,0.4494824166666632,0.03660180849182638,0.8235981431279391,0.06205487236596321
64,512,0.8318332933333342,0.01882412097876931,0.6162072500000032,0.03930128824511918,1.3559919803267624,0.1030778498375073
64,1024,2.521618430000001,0.1325642319070559,0.7552219666666683,0.04837305396772397,3.3506158365879926,0.25705166105534777
128,32,0.06200475666665852,0.0019171329077509874,0.4843617566666637,0.051134032655739486,0.12915779435871472,0.011941315319438406
128,64,0.08740220333333658,0.002437011635181614,0.46127330333333705,0.030861026448362104,0.19025832468771825,0.01315530973522998
128,128,0.1462781600000009,0.0061324604367278684,0.48672832333332017,0.05327436115453367,0.303578727201898,0.0309606700277125
128,256,0.2655024099999916,0.014569851581677448,0.48819833333332857,0.045849578229729133,0.5472306442900868,0.045834045182043176
128,512,0.6668340000000134,0.03413551076265888,0.5928423599999973,0.06781811153041256,1.139573647147474,0.14910027296584893
128,1024,2.4205915199999937,0.12288819194461092,0.7739242800000018,0.05576940739606099,3.136575512578074,0.18482943925676623
256,32,0.06248501666666092,0.002127693639162865,0.48184657666667285,0.05224266664459366,0.13066926117554392,0.01022026640486618
256,64,0.08537650999999566,0.0019889436484609576,0.4641598799999997,0.03482073085629087,0.18487712844081225,0.013760658148300405
256,128,0.1440412199999931,0.003967218477715974,0.46940372666665175,0.04280507755522363,0.3092425385927317,0.028458629428310206
256,256,0.2641116733333282,0.012238543178139836,0.5508732133333373,0.06150466520633048,0.4834835766989359,0.04173331356457875
256,512,0.6866475299999745,0.04087461820154379,0.6487370799999932,0.06027747472024768,1.0647166443092553,0.09217048603811462
256,1024,2.4482292266666565,0.13138646631696194,0.7850608799999919,0.05553078128859924,3.1270173978998455,0.1928511400674812
512,32,0.06802112666671292,0.001989951358058719,0.4634256299999758,0.03834966464524988,0.1475888222057228,0.010995362298469164
512,64,0.08878952333334382,0.0041482174261137485,0.4781212933333412,0.05027662471333208,0.18735933286408857,0.01829985467132002
512,128,0.14876726666667917,0.008289364309738258,0.5411433033333424,0.04824344705825804,0.2764577969738235,0.022419582879884287
512,256,0.2717368133333139,0.016524055681381065,0.5378006333333587,0.07307106928580923,0.5110488131530542,0.048892773817768506
512,512,0.703688509999976,0.03552607828705905,0.6514667566666882,0.06075193697253726,1.0862674697406725,0.08095063410413689
512,1024,2.6788785000000264,0.15229146871361968,0.8157075933333544,0.05098571948494493,3.291467695993454,0.20826123986157644
1024,32,0.07066118666665867,0.003413966616668789,0.48616360999999414,0.03808385332925562,0.14622251895672583,0.013558398096598942
1024,64,0.08993751999998949,0.001889634389261331,0.49685314666666425,0.03336255429380689,0.1818073840331133,0.01294848660918396
1024,128,0.1570312533333587,0.0039198288760680265,0.5099483199999971,0.04856510134250473,0.3101097563049463,0.024546739533068736
1024,256,0.28691038333333835,0.00922151129776269,0.5212290966666842,0.05980946407764047,0.5560896683724514,0.05423557908251119
1024,512,0.7710525233333404,0.038780084039504885,0.6530277333333137,0.04999533570409392,1.1852553415573113,0.08159770005809612
1024,1024,2.7585243500000085,0.16459662427047703,0.7986819233332957,0.05809636441591952,3.4633754057865787,0.21569127483045702
2048,32,0.07328498999996404,0.006069072118824835,0.5520340866666781,0.07119321257732235,0.13383545057455717,0.011638966803893066
2048,64,0.10093071000001146,0.003967762879687338,0.5214313599999514,0.06040252690329806,0.19551090788599482,0.01893247660242293
2048,128,0.17499384333332274,0.004975969404064601,0.5175215566666641,0.04377015481981262,0.3400631690732771,0.025468755169593522
2048,256,0.3287857833332813,0.01691136918420392,0.5325660299999829,0.05614986410521138,0.6232048489145121,0.06576385976960408
2048,512,0.8740738733333273,0.04585097531198751,0.6543104033333293,0.050683356525808465,1.3407678180593263,0.08857347502954606
2048,1024,3.1553902366666233,0.12780809553868752,0.7882480199999766,0.05944484264612568,4.01767180065592,0.24266118464531958
