train,test,fold,n_pairs,repeat
0.6242774366101603,0.4940870260966153,0,1,0
0.4934348173642601,0.4804209564674041,0,1,1
0.3861392514621142,0.4929122726639861,0,1,2
0.4999426907159898,0.501830545914632,0,1,3
0.6768830709638287,0.4838429227251725,0,1,4
0.6873885121195455,0.4888689018212004,0,1,5
0.4836983624584722,0.4921353897279092,0,1,6
0.6801590039113636,0.495524568172609,0,1,7
0.4429330614330321,0.4829679082318967,0,1,8
0.6716584074000017,0.4998515601118505,0,1,9
0.283919363389029,0.4736106983001551,0,1,10
0.5828371706625919,0.48955336270814,0,1,11
0.4740642368776085,0.498469243681687,0,1,12
0.4144412652876763,0.5037146804580089,0,1,13
0.5633776101288122,0.4824716800620445,0,1,14
0.425080936414454,0.4867143724918451,0,1,15
0.6747600106043616,0.4876993759582138,0,1,16
0.5415223653920602,0.4799151603219246,0,1,17
0.7383689570294276,0.4743629215811545,0,1,18
0.0702290548656179,0.4840812768474903,0,1,19
0.6003962409393715,0.4855279117075253,0,1,20
0.6528827881877359,0.4942776410790645,0,1,21
0.5886501916069453,0.4931931595065638,0,1,22
0.3732139915745508,0.4960434075136201,0,1,23
0.1448251750927336,0.4837387208502695,0,1,24
0.6034255663311785,0.4855211510326317,0,1,25
0.4451698662640725,0.4683406819550674,0,1,26
0.3453891941208706,0.4778580190189686,0,1,27
0.4368061662972141,0.4956085227442298,0,1,28
0.6504712942155053,0.4861544906752073,0,1,29
0.426533071125393,0.4691026393091879,1,1,0
0.5800363098032517,0.4608397209148751,1,1,1
0.6487001741320242,0.4500496195114428,1,1,2
0.0555873399360243,0.4581668408353581,1,1,3
0.6785745833066257,0.4502362044862574,1,1,4
0.6049225598381434,0.4368536475513132,1,1,5
0.6612674244239696,0.4655573255992151,1,1,6
0.40744087205808,0.4680166869176281,1,1,7
0.4313461918585225,0.4591892414985563,1,1,8
0.1956603763331112,0.4634797915465455,1,1,9
0.1607439018045243,0.4412457034763289,1,1,10
0.4032332826170003,0.4708529868104795,1,1,11
0.426644015743959,0.4545384823987367,1,1,12
0.741680968624101,0.4503312106353087,1,1,13
0.6428218856166024,0.4596426292054441,1,1,14
0.3434852971119657,0.4619314440957617,1,1,15
0.4661527059128958,0.4591369720204541,1,1,16
0.4842739731514993,0.4526332521932615,1,1,17
0.6024764003003182,0.4669256251935562,1,1,18
0.3385580653749814,0.4584025841757393,1,1,19
0.2969052905334605,0.4682077214937942,1,1,20
0.5860142318710766,0.4560812834873671,1,1,21
0.53876584391873,0.4527151681315249,1,1,22
0.6427444865444536,0.462603364257082,1,1,23
0.3288452022150294,0.4559537954214854,1,1,24
0.1413271968815074,0.4610888598605365,1,1,25
0.5854380070384495,0.4605586638624271,1,1,26
0.4475401768486355,0.4576711930008131,1,1,27
0.1412404874594699,0.4484427336295044,1,1,28
0.5215735159250681,0.4589269831246869,1,1,29
0.3897691571006946,0.4594896105151953,2,1,0
0.4354105237441642,0.4526449636254637,2,1,1
0.7574207787744531,0.4481182711567809,2,1,2
0.6599190523886708,0.4604634210149233,2,1,3
0.2353849984877949,0.4356445707713897,2,1,4
0.6943625047459445,0.45674207428991,2,1,5
0.3285356121251845,0.4552408188751379,2,1,6
0.3570318880991029,0.4687262496836701,2,1,7
0.632012626311361,0.4603824619959595,2,1,8
0.3734533027070952,0.4564112251077955,2,1,9
0.6223759232961681,0.4502002375800562,2,1,10
0.3095898023235012,0.4561923636618508,2,1,11
0.2417977870373303,0.4510330673405902,2,1,12
0.3722868305527761,0.4637299169958362,2,1,13
0.5861519205115248,0.457275858509523,2,1,14
0.427350507230872,0.4768294140263628,2,1,15
0.3607659433885761,0.4475583519971157,2,1,16
0.6129394390244292,0.4450103141321549,2,1,17
0.5057128110510964,0.4676882592228421,2,1,18
0.4718058179075205,0.4644954482158648,2,1,19
0.6593661968900876,0.462484672606558,2,1,20
0.2339904326107423,0.459916802990081,2,1,21
0.5880942823498431,0.4512911665069824,2,1,22
0.6130463350949606,0.4663388141915424,2,1,23
0.4473406352685022,0.4638730534717113,2,1,24
0.7755813489862813,0.4651074208033654,2,1,25
0.6060415736567647,0.4640446101916674,2,1,26
0.442620058830824,0.4625991578536939,2,1,27
0.5656976284051571,0.4554734126790933,2,1,28
0.4914915598964804,0.4657917435687847,2,1,29
0.7603618010239745,0.4310734915252225,3,1,0
0.335404453286553,0.4489884608681822,3,1,1
0.2256662296719293,0.4408327813320212,3,1,2
0.6225733911445015,0.4423784068779744,3,1,3
0.6429996396688833,0.4330450386570776,3,1,4
0.5534567710169269,0.4472145204002934,3,1,5
0.5463711176414062,0.4358611966924743,3,1,6
0.6325589755783843,0.4409427396143491,3,1,7
0.4646619258258485,0.4348078978514562,3,1,8
