train,test,fold,n_pairs,repeat
0.882295328493163,0.4756629282626557,0,1,0
0.933922901274232,0.4818308681461239,0,1,1
0.7054574755800671,0.4892718845560628,0,1,2
0.803822986675776,0.4985443622992667,0,1,3
0.9638358227186004,0.4746810666609387,0,1,4
0.8786838856221997,0.4989673308818211,0,1,5
0.9747073609007508,0.4837042395825003,0,1,6
0.8707667586309196,0.4911721648628536,0,1,7
0.8369640420517647,0.4921314046619874,0,1,8
0.9772420060158358,0.4692150797075132,0,1,9
0.7337748431347296,0.4853520056633792,0,1,10
0.8417480146714398,0.4920382548111098,0,1,11
0.8780901927355242,0.4823952415945044,0,1,12
0.9616502698769512,0.5073426781468535,0,1,13
0.8333772158279227,0.4956577085225322,0,1,14
0.7849495379154183,0.4994128654757342,0,1,15
0.9232714873226148,0.4889992927755722,0,1,16
0.9819886773485816,0.4765868613769244,0,1,17
0.9218600653963476,0.4785157920634973,0,1,18
0.5297144052518497,0.4792771095861285,0,1,19
0.8284906115070103,0.4933827469918602,0,1,20
0.9359896496292176,0.4937895283508424,0,1,21
0.8700096549999301,0.4912471168926385,0,1,22
0.7798549188813528,0.4797297564870992,0,1,23
0.8164832126296209,0.4886809189100538,0,1,24
0.8709190043273007,0.4812474130337336,0,1,25
0.8232542744047961,0.4918409252765845,0,1,26
0.7406390703333385,0.484180904371512,0,1,27
0.8059199665963275,0.4920997736320006,0,1,28
0.938256888313137,0.4896843742509746,0,1,29
0.7178390044185783,0.4705054052820012,1,1,0
0.8734673830058799,0.446433455766992,1,1,1
0.8082029021588946,0.4618894042228798,1,1,2
0.8769157053240462,0.4557187183433765,1,1,3
0.881813501127796,0.4669227567196006,1,1,4
0.90132804896065,0.4541199321480669,1,1,5
0.8821621648964446,0.451943498886983,1,1,6
0.7873673938974621,0.4636171902800473,1,1,7
0.8804068033233201,0.4588270475348943,1,1,8
0.7745288517885738,0.4464959844839896,1,1,9
0.9017866741900952,0.4547437992297902,1,1,10
0.7857196778894053,0.4478740139493552,1,1,11
0.8545341119233922,0.4615616156600933,1,1,12
0.9155367270822444,0.4655340705770392,1,1,13
0.8520648085897768,0.4569172774672019,1,1,14
0.8063369510901667,0.4454838447012262,1,1,15
0.9250098014445588,0.4589803379694323,1,1,16
0.9120753253877268,0.4466360985550619,1,1,17
0.9028527919548124,0.4585055082599376,1,1,18
0.7334692975790373,0.4692328647580899,1,1,19
0.9227499102919026,0.4664109789724102,1,1,20
0.7702760776714709,0.4605953642784156,1,1,21
0.9698556968072186,0.4771479245784613,1,1,22
0.968184690484476,0.4517369348892002,1,1,23
0.780769270257607,0.4385101531004615,1,1,24
0.6281331638596671,0.4548564485745847,1,1,25
0.8662376025195069,0.4534544172253868,1,1,26
0.9176015079174102,0.4666247529493564,1,1,27
0.7210976124314207,0.4576471389502693,1,1,28
0.934863842838028,0.4713744178903193,1,1,29
0.8944174742661072,0.4677248636422987,2,1,0
0.9179541321859522,0.5040504610505,2,1,1
0.9485178344626328,0.4493307146747582,2,1,2
0.8928108484924729,0.4688488972367403,2,1,3
0.6694669604418602,0.4716180812002334,2,1,4
0.8520669030005588,0.4534124689885641,2,1,5
0.917684786644096,0.4917383994324474,2,1,6
0.9167102920042918,0.4434749924787496,2,1,7
0.8142081758734431,0.4518112673081593,2,1,8
0.9145651621663116,0.4727474111321478,2,1,9
0.8817822580132276,0.4791434450360627,2,1,10
0.8939100730310168,0.4641564712607425,2,1,11
0.95688537073993,0.4387437926178011,2,1,12
0.6749097461362245,0.4721342456067507,2,1,13
0.8141050751648683,0.4561740126567591,2,1,14
0.888060036067615,0.4647179494414188,2,1,15
0.7142189823650158,0.4601795202452747,2,1,16
0.8827251742987674,0.4505304613634376,2,1,17
0.8267377148992534,0.4579613856620526,2,1,18
0.8838572462087697,0.4492605350639705,2,1,19
0.8835541057525784,0.4693039910750473,2,1,20
0.6677886551031483,0.4739478671913199,2,1,21
0.9779264397577044,0.4550860962739259,2,1,22
0.8880899517073466,0.4740129405579235,2,1,23
0.9848800644527452,0.4755753761695163,2,1,24
0.9467023321270416,0.4518161765184301,2,1,25
0.8659838228982647,0.4602662789303687,2,1,26
0.8703837193388893,0.4815793056009031,2,1,27
0.92755469819038,0.4713219007421512,2,1,28
0.9456203596654476,0.4647994454605244,2,1,29
0.9025213931695996,0.4534929953938585,3,1,0
0.7043510397792256,0.4463470642697382,3,1,1
0.9176249530184752,0.4438848087797929,3,1,2
0.9567900055150382,0.4468204871051908,3,1,3
0.891416632714384,0.4290369906167063,3,1,4
0.98455392637491,0.4158453661596293,3,1,5
0.9785288462062584,0.4563866896468337,3,1,6
0.8769624891514407,0.4476675343172273,3,1,7
0.8339291675054776,0.4439430667860647,3,1,8
0.6729544034335635,0.451617028931631,3,1,9
0.861861102291132,0.4477902857726504,3,1,10
0.8123217690496158,0.4514450193626233,3,1,11
0.7973640763919143,0.4336871598624617,3,1,12
0.8883466835427626,0.4408674074686577,3,1,13
0.8747942090172023,0.4349634113091415,3,1,14
0.8805858589214706,0.4510172447569144,3,1,15
0.8025732788115916,0.4374110663586731,3,1,16
0.9701916165510313,0.4574343453672179,3,1,17
0.9816108056022508,0.4756396342403639,3,1,18
0.8204791211364915,0.4285686135456859,3,1,19
0.8484761823066918,0.4520547813139924,3,1,20
0.8712844818574148,0.4520121962457213,3,1,21
0.835534009062163,0.4427529165080503,3,1,22
0.9106738735834448,0.4533520202989287,3,1,23
0.9729674620154888,0.4440867599722997,3,1,24
0.9326777272024688,0.4545845165581174,3,1,25
0.8675197713748102,0.4380122382881044,3,1,26
0.95249890635644,0.4427969288698717,3,1,27
0.8850494811349233,0.4401172861200461,3,1,28
0.8156528084907475,0.4326075921477144,3,1,29
0.9003288804348696,0.4579068270830742,4,1,0
0.8839730087374158,0.4415433384704261,4,1,1
0.9853910735444829,0.4667221800868282,4,1,2
0.8782039555085144,0.4551094380052209,4,1,3
0.8193368769931988,0.4436197134204922,4,1,4
0.9318605531704064,0.4168075161433536,4,1,5
0.8839339278238635,0.4534804104803639,4,1,6
0.9262317009214112,0.4496700107081362,4,1,7
0.8441491263516554,0.4424074640234697,4,1,8
0.8046214803351659,0.4447937192971467,4,1,9
0.8755692927465358,0.4602750516745186,4,1,10
0.8978908185672843,0.4382910421619121,4,1,11
0.8602823757526175,0.4584245137781159,4,1,12
0.9057103824464172,0.4642714849949191,4,1,13
0.6229264920309696,0.4404455697560602,4,1,14
0.8122895330760346,0.41992270235305,4,1,15
0.8007503830484176,0.4528236138253103,4,1,16
0.8391993604469479,0.45019199875605,4,1,17
0.981066774686433,0.4660267002510204,4,1,18
0.885737264561818,0.4477138979301028,4,1,19
0.836615009335974,0.4398694813022561,4,1,20
0.926877188067557,0.4567175357145016,4,1,21
0.9193089627238462,0.4483351545768232,4,1,22
