fold,direction,feature_set,comparison,model_type,model_label,random_repeat,background_n,metric,value,lower_better
1,Human to mouse,latent,real_target_liver_vs_random_non_liver_target,target_liver,Real target liver,1,1000,Centroid distance,2.4446663856506348,TRUE
1,Human to mouse,latent,translated_liver_source_vs_random_non_liver_target,FlowTransOP,FlowTransOP,1,1000,Centroid distance,6.748619556427002,TRUE
1,Mouse to human,latent,real_target_liver_vs_random_non_liver_target,target_liver,Real target liver,1,1000,Centroid distance,1.0180785655975342,TRUE
1,Mouse to human,latent,translated_liver_source_vs_random_non_liver_target,FlowTransOP,FlowTransOP,1,1000,Centroid distance,1.2212800979614258,TRUE
1,Human to mouse,latent,real_target_liver_vs_random_non_liver_target,target_liver,Real target liver,2,1000,Centroid distance,2.358548879623413,TRUE
1,Human to mouse,latent,translated_liver_source_vs_random_non_liver_target,FlowTransOP,FlowTransOP,2,1000,Centroid distance,6.784782409667969,TRUE
1,Mouse to human,latent,real_target_liver_vs_random_non_liver_target,target_liver,Real target liver,2,1000,Centroid distance,1.0522218942642212,TRUE
1,Mouse to human,latent,translated_liver_source_vs_random_non_liver_target,FlowTransOP,FlowTransOP,2,1000,Centroid distance,1.3285127878189087,TRUE
1,Human to mouse,latent,real_target_liver_vs_random_non_liver_target,target_liver,Real target liver,3,1000,Centroid distance,2.396726131439209,TRUE
1,Human to mouse,latent,translated_liver_source_vs_random_non_liver_target,FlowTransOP,FlowTransOP,3,1000,Centroid distance,6.708110332489014,TRUE
1,Mouse to human,latent,real_target_liver_vs_random_non_liver_target,target_liver,Real target liver,3,1000,Centroid distance,1.113227605819702,TRUE
1,Mouse to human,latent,translated_liver_source_vs_random_non_liver_target,FlowTransOP,FlowTransOP,3,1000,Centroid distance,1.3966015577316284,TRUE
1,Human to mouse,latent,real_target_liver_vs_random_non_liver_target,target_liver,Real target liver,4,1000,Centroid distance,2.5558481216430664,TRUE
1,Human to mouse,latent,translated_liver_source_vs_random_non_liver_target,FlowTransOP,FlowTransOP,4,1000,Centroid distance,6.966078281402588,TRUE
1,Mouse to human,latent,real_target_liver_vs_random_non_liver_target,target_liver,Real target liver,4,1000,Centroid distance,1.0476795434951782,TRUE
1,Mouse to human,latent,translated_liver_source_vs_random_non_liver_target,FlowTransOP,FlowTransOP,4,1000,Centroid distance,1.3899922370910645,TRUE
1,Human to mouse,latent,real_target_liver_vs_random_non_liver_target,target_liver,Real target liver,5,1000,Centroid distance,2.6539180278778076,TRUE
1,Human to mouse,latent,translated_liver_source_vs_random_non_liver_target,FlowTransOP,FlowTransOP,5,1000,Centroid distance,7.29287576675415,TRUE
1,Mouse to human,latent,real_target_liver_vs_random_non_liver_target,target_liver,Real target liver,5,1000,Centroid distance,1.1376956701278689,TRUE
1,Mouse to human,latent,translated_liver_source_vs_random_non_liver_target,FlowTransOP,FlowTransOP,5,1000,Centroid distance,1.2516485452651978,TRUE
1,Human to mouse,latent,real_target_liver_vs_random_non_liver_target,target_liver,Real target liver,6,1000,Centroid distance,2.3835349082946777,TRUE
1,Human to mouse,latent,translated_liver_source_vs_random_non_liver_target,FlowTransOP,FlowTransOP,6,1000,Centroid distance,6.83746862411499,TRUE
1,Mouse to human,latent,real_target_liver_vs_random_non_liver_target,target_liver,Real target liver,6,1000,Centroid distance,1.0508085489273071,TRUE
1,Mouse to human,latent,translated_liver_source_vs_random_non_liver_target,FlowTransOP,FlowTransOP,6,1000,Centroid distance,1.1636197566986084,TRUE
1,Human to mouse,latent,real_target_liver_vs_random_non_liver_target,target_liver,Real target liver,7,1000,Centroid distance,2.2883541584014893,TRUE
1,Human to mouse,latent,translated_liver_source_vs_random_non_liver_target,FlowTransOP,FlowTransOP,7,1000,Centroid distance,6.567916393280029,TRUE
1,Mouse to human,latent,real_target_liver_vs_random_non_liver_target,target_liver,Real target liver,7,1000,Centroid distance,1.058971881866455,TRUE
1,Mouse to human,latent,translated_liver_source_vs_random_non_liver_target,FlowTransOP,FlowTransOP,7,1000,Centroid distance,1.3287442922592163,TRUE
1,Human to mouse,latent,real_target_liver_vs_random_non_liver_target,target_liver,Real target liver,8,1000,Centroid distance,2.6874444484710693,TRUE
1,Human to mouse,latent,translated_liver_source_vs_random_non_liver_target,FlowTransOP,FlowTransOP,8,1000,Centroid distance,7.175887107849121,TRUE
1,Mouse to human,latent,real_target_liver_vs_random_non_liver_target,target_liver,Real target liver,8,1000,Centroid distance,1.0044435262680054,TRUE
1,Mouse to human,latent,translated_liver_source_vs_random_non_liver_target,FlowTransOP,FlowTransOP,8,1000,Centroid distance,1.3968843221664429,TRUE
1,Human to mouse,latent,real_target_liver_vs_random_non_liver_target,target_liver,Real target liver,9,1000,Centroid distance,2.2963857650756836,TRUE
1,Human to mouse,latent,translated_liver_source_vs_random_non_liver_target,FlowTransOP,FlowTransOP,9,1000,Centroid distance,6.802607536315918,TRUE
1,Mouse to human,latent,real_target_liver_vs_random_non_liver_target,target_liver,Real target liver,9,1000,Centroid distance,0.9742634892463684,TRUE
1,Mouse to human,latent,translated_liver_source_vs_random_non_liver_target,FlowTransOP,FlowTransOP,9,1000,Centroid distance,1.314275860786438,TRUE
2,Human to mouse,latent,real_target_liver_vs_random_non_liver_target,target_liver,Real target liver,0,1000,Centroid distance,2.7087409496307373,TRUE
2,Human to mouse,latent,translated_liver_source_vs_random_non_liver_target,FlowTransOP,FlowTransOP,0,1000,Centroid distance,5.143502712249756,TRUE
2,Mouse to human,latent,real_target_liver_vs_random_non_liver_target,target_liver,Real target liver,0,1000,Centroid distance,1.0697143077850342,TRUE
2,Mouse to human,latent,translated_liver_source_vs_random_non_liver_target,FlowTransOP,FlowTransOP,0,1000,Centroid distance,2.316972017288208,TRUE
2,Human to mouse,latent,real_target_liver_vs_random_non_liver_target,target_liver,Real target liver,1,1000,Centroid distance,3.023688554763794,TRUE
2,Human to mouse,latent,translated_liver_source_vs_random_non_liver_target,FlowTransOP,FlowTransOP,1,1000,Centroid distance,5.722375392913818,TRUE
2,Mouse to human,latent,real_target_liver_vs_random_non_liver_target,target_liver,Real target liver,1,1000,Centroid distance,1.1493821144104004,TRUE
2,Mouse to human,latent,translated_liver_source_vs_random_non_liver_target,FlowTransOP,FlowTransOP,1,1000,Centroid distance,2.508626699447632,TRUE
2,Human to mouse,latent,real_target_liver_vs_random_non_liver_target,target_liver,Real target liver,2,1000,Centroid distance,2.6334731578826904,TRUE
2,Human to mouse,latent,translated_liver_source_vs_random_non_liver_target,FlowTransOP,FlowTransOP,2,1000,Centroid distance,5.263550281524658,TRUE
2,Mouse to human,latent,real_target_liver_vs_random_non_liver_target,target_liver,Real target liver,2,1000,Centroid distance,1.0442672967910769,TRUE
2,Mouse to human,latent,translated_liver_source_vs_random_non_liver_target,FlowTransOP,FlowTransOP,2,1000,Centroid distance,2.3593783378601074,TRUE
2,Human to mouse,latent,real_target_liver_vs_random_non_liver_target,target_liver,Real target liver,3,1000,Centroid distance,2.7447526454925537,TRUE
2,Human to mouse,latent,translated_liver_source_vs_random_non_liver_target,FlowTransOP,FlowTransOP,3,1000,Centroid distance,5.19351053237915,TRUE
2,Mouse to human,latent,real_target_liver_vs_random_non_liver_target,target_liver,Real target liver,3,1000,Centroid distance,1.0712952613830566,TRUE
2,Mouse to human,latent,translated_liver_source_vs_random_non_liver_target,FlowTransOP,FlowTransOP,3,1000,Centroid distance,2.1757514476776123,TRUE
2,Human to mouse,latent,real_target_liver_vs_random_non_liver_target,target_liver,Real target liver,4,1000,Centroid distance,2.910273790359497,TRUE
2,Human to mouse,latent,translated_liver_source_vs_random_non_liver_target,FlowTransOP,FlowTransOP,4,1000,Centroid distance,5.549817085266113,TRUE
2,Mouse to human,latent,real_target_liver_vs_random_non_liver_target,target_liver,Real target liver,4,1000,Centroid distance,1.066572904586792,TRUE
2,Mouse to human,latent,translated_liver_source_vs_random_non_liver_target,FlowTransOP,FlowTransOP,4,1000,Centroid distance,2.211545705795288,TRUE
2,Human to mouse,latent,real_target_liver_vs_random_non_liver_target,target_liver,Real target liver,5,1000,Centroid distance,3.14316463470459,TRUE
