direction,feature_set,baseline,n_folds,mean_flow,mean_baseline,mean_diff,lower_better,p_value,p_adj_holm,stars
Mouse to human,Orthologues,permuted_both,10,0.3168319344520569,1.2272085309028626,-0.9103765964508056,TRUE,0.0029607685120743537,0.0029607685120743537,**
Mouse to human,All target genes,permuted_both,10,0.2944172739982605,1.246203351020813,-0.9517860770225525,TRUE,0.0029607685120743537,0.0029607685120743537,**
Human to mouse,Orthologues,permuted_both,10,0.666860693693161,1.406605076789856,-0.739744383096695,TRUE,0.0029607685120743537,0.0029607685120743537,**
Human to mouse,All target genes,permuted_both,10,0.5679599463939666,1.4142595410346985,-0.8462995946407318,TRUE,0.0029607685120743537,0.0029607685120743537,**
