fold,species,model_type,model_label,metric,value,lower_better
6,Human,permuted_both,Permuted both,Gene-marginal variance,-0.00357210794781631,FALSE
7,Human,FlowTransOP,FlowTransOP,Gene-marginal mean,0.9577763508940424,FALSE
7,Human,FlowTransOP,FlowTransOP,Gene-marginal variance,0.6000496968101934,FALSE
7,Human,permuted_both,Permuted both,Gene-marginal mean,-0.00195004315984309,FALSE
7,Human,permuted_both,Permuted both,Gene-marginal variance,-0.00127236452774016,FALSE
8,Human,FlowTransOP,FlowTransOP,Gene-marginal mean,0.9557298175006248,FALSE
8,Human,FlowTransOP,FlowTransOP,Gene-marginal variance,0.595511278360962,FALSE
8,Human,permuted_both,Permuted both,Gene-marginal mean,-0.00195661282460378,FALSE
8,Human,permuted_both,Permuted both,Gene-marginal variance,-5.4701204402122e-4,FALSE
9,Human,FlowTransOP,FlowTransOP,Gene-marginal mean,0.961798669203206,FALSE
9,Human,FlowTransOP,FlowTransOP,Gene-marginal variance,0.6151626439320778,FALSE
9,Human,permuted_both,Permuted both,Gene-marginal mean,-0.00227077741288537,FALSE
9,Human,permuted_both,Permuted both,Gene-marginal variance,9.7162020368382e-4,FALSE
0,Mouse,FlowTransOP,FlowTransOP,Gene-marginal mean,0.8474262019655495,FALSE
0,Mouse,FlowTransOP,FlowTransOP,Gene-marginal variance,0.4395301698609614,FALSE
0,Mouse,permuted_both,Permuted both,Gene-marginal mean,-0.00344255580840664,FALSE
0,Mouse,permuted_both,Permuted both,Gene-marginal variance,0.00164123744347919,FALSE
1,Mouse,FlowTransOP,FlowTransOP,Gene-marginal mean,0.8499334449542468,FALSE
1,Mouse,FlowTransOP,FlowTransOP,Gene-marginal variance,0.4093587558224643,FALSE
1,Mouse,permuted_both,Permuted both,Gene-marginal mean,-0.00287075285352071,FALSE
1,Mouse,permuted_both,Permuted both,Gene-marginal variance,0.00752282737517027,FALSE
2,Mouse,FlowTransOP,FlowTransOP,Gene-marginal mean,0.8336599406205967,FALSE
2,Mouse,FlowTransOP,FlowTransOP,Gene-marginal variance,0.42464687173134263,FALSE
2,Mouse,permuted_both,Permuted both,Gene-marginal mean,-0.00347569620176763,FALSE
2,Mouse,permuted_both,Permuted both,Gene-marginal variance,0.00597542755287064,FALSE
3,Mouse,FlowTransOP,FlowTransOP,Gene-marginal mean,0.8786689127559143,FALSE
3,Mouse,FlowTransOP,FlowTransOP,Gene-marginal variance,0.4885309763529668,FALSE
3,Mouse,permuted_both,Permuted both,Gene-marginal mean,-0.00254817315503437,FALSE
3,Mouse,permuted_both,Permuted both,Gene-marginal variance,0.00760509421785154,FALSE
4,Mouse,FlowTransOP,FlowTransOP,Gene-marginal mean,0.8361503172520163,FALSE
4,Mouse,FlowTransOP,FlowTransOP,Gene-marginal variance,0.4324806673095478,FALSE
4,Mouse,permuted_both,Permuted both,Gene-marginal mean,0.00242823436639262,FALSE
4,Mouse,permuted_both,Permuted both,Gene-marginal variance,0.00221124851950936,FALSE
5,Mouse,FlowTransOP,FlowTransOP,Gene-marginal mean,0.8117160058764623,FALSE
5,Mouse,FlowTransOP,FlowTransOP,Gene-marginal variance,0.4081207129212302,FALSE
5,Mouse,permuted_both,Permuted both,Gene-marginal mean,-0.00380227078073199,FALSE
5,Mouse,permuted_both,Permuted both,Gene-marginal variance,0.00860780669818701,FALSE
6,Mouse,FlowTransOP,FlowTransOP,Gene-marginal mean,0.8211705344519683,FALSE
6,Mouse,FlowTransOP,FlowTransOP,Gene-marginal variance,0.3724757563451071,FALSE
6,Mouse,permuted_both,Permuted both,Gene-marginal mean,0.00309170023579348,FALSE
6,Mouse,permuted_both,Permuted both,Gene-marginal variance,5.5527123614276e-4,FALSE
7,Mouse,FlowTransOP,FlowTransOP,Gene-marginal mean,0.82206110273982,FALSE
7,Mouse,FlowTransOP,FlowTransOP,Gene-marginal variance,0.4262148689723641,FALSE
7,Mouse,permuted_both,Permuted both,Gene-marginal mean,0.00605594541559632,FALSE
7,Mouse,permuted_both,Permuted both,Gene-marginal variance,-0.00238792597424504,FALSE
8,Mouse,FlowTransOP,FlowTransOP,Gene-marginal mean,0.7882604497844599,FALSE
8,Mouse,FlowTransOP,FlowTransOP,Gene-marginal variance,0.3732596529094198,FALSE
8,Mouse,permuted_both,Permuted both,Gene-marginal mean,0.00696812033034993,FALSE
8,Mouse,permuted_both,Permuted both,Gene-marginal variance,-0.00195737226704629,FALSE
9,Mouse,FlowTransOP,FlowTransOP,Gene-marginal mean,0.8283393174165851,FALSE
9,Mouse,FlowTransOP,FlowTransOP,Gene-marginal variance,0.42940652133207113,FALSE
9,Mouse,permuted_both,Permuted both,Gene-marginal mean,0.00690918782620057,FALSE
9,Mouse,permuted_both,Permuted both,Gene-marginal variance,-2.3188901887449e-4,FALSE
