fold,direction,tissue,feature_set,model_type,comparison,n_source,n_target,n_features,mmd,random_repeat,source_file,model_label
0,Human to mouse,liver,All target genes,target_liver,real_target_liver_vs_random_non_liver_target,10000,1000,29477,0.1677646040916443,9,liver_expression_mmd_fold0.csv,Real target liver
0,Human to mouse,liver,All target genes,FlowTransOP,translated_liver_source_vs_random_non_liver_target,10000,1000,29477,0.5825618505477905,9,liver_expression_mmd_fold0.csv,FlowTransOP
0,Human to mouse,liver,Orthologues,target_liver,real_target_liver_vs_random_non_liver_target,10000,1000,15666,0.1995651125907898,9,liver_expression_mmd_fold0.csv,Real target liver
0,Human to mouse,liver,Orthologues,FlowTransOP,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.5830678343772888,9,liver_expression_mmd_fold0.csv,FlowTransOP
0,Human to mouse,liver,All target genes,permuted_both,translated_liver_source_vs_random_non_liver_target,10000,1000,29477,0.6042488217353821,0,liver_expression_mmd_fold0.csv,Permuted both
0,Human to mouse,liver,Orthologues,permuted_both,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.6043741106987,0,liver_expression_mmd_fold0.csv,Permuted both
0,Human to mouse,liver,All target genes,permuted_both,translated_liver_source_vs_random_non_liver_target,10000,1000,29477,0.6042514443397522,1,liver_expression_mmd_fold0.csv,Permuted both
0,Human to mouse,liver,Orthologues,permuted_both,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.6043748259544373,1,liver_expression_mmd_fold0.csv,Permuted both
0,Human to mouse,liver,All target genes,permuted_both,translated_liver_source_vs_random_non_liver_target,10000,1000,29477,0.604248046875,2,liver_expression_mmd_fold0.csv,Permuted both
0,Human to mouse,liver,Orthologues,permuted_both,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.6043722629547119,2,liver_expression_mmd_fold0.csv,Permuted both
0,Human to mouse,liver,All target genes,permuted_both,translated_liver_source_vs_random_non_liver_target,10000,1000,29477,0.6042470932006836,3,liver_expression_mmd_fold0.csv,Permuted both
0,Human to mouse,liver,Orthologues,permuted_both,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.6043713688850403,3,liver_expression_mmd_fold0.csv,Permuted both
0,Human to mouse,liver,All target genes,permuted_both,translated_liver_source_vs_random_non_liver_target,10000,1000,29477,0.6042489409446716,4,liver_expression_mmd_fold0.csv,Permuted both
0,Human to mouse,liver,Orthologues,permuted_both,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.6043730974197388,4,liver_expression_mmd_fold0.csv,Permuted both
0,Human to mouse,liver,All target genes,permuted_both,translated_liver_source_vs_random_non_liver_target,10000,1000,29477,0.6042479872703552,5,liver_expression_mmd_fold0.csv,Permuted both
0,Human to mouse,liver,Orthologues,permuted_both,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.6043724417686462,5,liver_expression_mmd_fold0.csv,Permuted both
0,Human to mouse,liver,All target genes,permuted_both,translated_liver_source_vs_random_non_liver_target,10000,1000,29477,0.6042506694793701,6,liver_expression_mmd_fold0.csv,Permuted both
0,Human to mouse,liver,Orthologues,permuted_both,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.6043735146522522,6,liver_expression_mmd_fold0.csv,Permuted both
0,Human to mouse,liver,All target genes,permuted_both,translated_liver_source_vs_random_non_liver_target,10000,1000,29477,0.6042496562004089,7,liver_expression_mmd_fold0.csv,Permuted both
0,Human to mouse,liver,Orthologues,permuted_both,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.6043725609779358,7,liver_expression_mmd_fold0.csv,Permuted both
0,Human to mouse,liver,All target genes,permuted_both,translated_liver_source_vs_random_non_liver_target,10000,1000,29477,0.6042501926422119,8,liver_expression_mmd_fold0.csv,Permuted both
0,Human to mouse,liver,Orthologues,permuted_both,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.6043724417686462,8,liver_expression_mmd_fold0.csv,Permuted both
0,Human to mouse,liver,All target genes,permuted_both,translated_liver_source_vs_random_non_liver_target,10000,1000,29477,0.6042494177818298,9,liver_expression_mmd_fold0.csv,Permuted both
0,Human to mouse,liver,Orthologues,permuted_both,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.6043736934661865,9,liver_expression_mmd_fold0.csv,Permuted both
0,Mouse to human,liver,All target genes,target_liver,real_target_liver_vs_random_non_liver_target,10000,1000,37933,0.04810106754302978,0,liver_expression_mmd_fold0.csv,Real target liver
0,Mouse to human,liver,All target genes,FlowTransOP,translated_liver_source_vs_random_non_liver_target,10000,1000,37933,0.6151723265647888,0,liver_expression_mmd_fold0.csv,FlowTransOP
0,Mouse to human,liver,Orthologues,target_liver,real_target_liver_vs_random_non_liver_target,10000,1000,15666,0.06648242473602295,0,liver_expression_mmd_fold0.csv,Real target liver
0,Mouse to human,liver,Orthologues,FlowTransOP,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.6116346716880798,0,liver_expression_mmd_fold0.csv,FlowTransOP
0,Mouse to human,liver,All target genes,target_liver,real_target_liver_vs_random_non_liver_target,10000,1000,37933,0.04861140251159668,1,liver_expression_mmd_fold0.csv,Real target liver
0,Mouse to human,liver,All target genes,FlowTransOP,translated_liver_source_vs_random_non_liver_target,10000,1000,37933,0.6151963472366333,1,liver_expression_mmd_fold0.csv,FlowTransOP
0,Mouse to human,liver,Orthologues,target_liver,real_target_liver_vs_random_non_liver_target,10000,1000,15666,0.0671539306640625,1,liver_expression_mmd_fold0.csv,Real target liver
0,Mouse to human,liver,Orthologues,FlowTransOP,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.6116597652435303,1,liver_expression_mmd_fold0.csv,FlowTransOP
0,Mouse to human,liver,All target genes,target_liver,real_target_liver_vs_random_non_liver_target,10000,1000,37933,0.04812180995941162,2,liver_expression_mmd_fold0.csv,Real target liver
0,Mouse to human,liver,All target genes,FlowTransOP,translated_liver_source_vs_random_non_liver_target,10000,1000,37933,0.6151772737503052,2,liver_expression_mmd_fold0.csv,FlowTransOP
0,Mouse to human,liver,Orthologues,target_liver,real_target_liver_vs_random_non_liver_target,10000,1000,15666,0.06645989418029785,2,liver_expression_mmd_fold0.csv,Real target liver
0,Mouse to human,liver,Orthologues,FlowTransOP,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.6116395592689514,2,liver_expression_mmd_fold0.csv,FlowTransOP
0,Mouse to human,liver,All target genes,target_liver,real_target_liver_vs_random_non_liver_target,10000,1000,37933,0.04856216907501221,3,liver_expression_mmd_fold0.csv,Real target liver
0,Mouse to human,liver,All target genes,FlowTransOP,translated_liver_source_vs_random_non_liver_target,10000,1000,37933,0.6151901483535767,3,liver_expression_mmd_fold0.csv,FlowTransOP
0,Mouse to human,liver,Orthologues,target_liver,real_target_liver_vs_random_non_liver_target,10000,1000,15666,0.06706821918487549,3,liver_expression_mmd_fold0.csv,Real target liver
0,Mouse to human,liver,Orthologues,FlowTransOP,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.6116425395011902,3,liver_expression_mmd_fold0.csv,FlowTransOP
0,Mouse to human,liver,All target genes,target_liver,real_target_liver_vs_random_non_liver_target,10000,1000,37933,0.04954946041107178,4,liver_expression_mmd_fold0.csv,Real target liver
0,Mouse to human,liver,All target genes,FlowTransOP,translated_liver_source_vs_random_non_liver_target,10000,1000,37933,0.6151776909828186,4,liver_expression_mmd_fold0.csv,FlowTransOP
0,Mouse to human,liver,Orthologues,target_liver,real_target_liver_vs_random_non_liver_target,10000,1000,15666,0.06843101978302002,4,liver_expression_mmd_fold0.csv,Real target liver
0,Mouse to human,liver,Orthologues,FlowTransOP,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.6116392612457275,4,liver_expression_mmd_fold0.csv,FlowTransOP
0,Mouse to human,liver,All target genes,target_liver,real_target_liver_vs_random_non_liver_target,10000,1000,37933,0.04911816120147705,5,liver_expression_mmd_fold0.csv,Real target liver
0,Mouse to human,liver,All target genes,FlowTransOP,translated_liver_source_vs_random_non_liver_target,10000,1000,37933,0.6151743531227112,5,liver_expression_mmd_fold0.csv,FlowTransOP
0,Mouse to human,liver,Orthologues,target_liver,real_target_liver_vs_random_non_liver_target,10000,1000,15666,0.06809127330780029,5,liver_expression_mmd_fold0.csv,Real target liver
0,Mouse to human,liver,Orthologues,FlowTransOP,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.6116352081298828,5,liver_expression_mmd_fold0.csv,FlowTransOP
0,Mouse to human,liver,All target genes,target_liver,real_target_liver_vs_random_non_liver_target,10000,1000,37933,0.04870569705963135,6,liver_expression_mmd_fold0.csv,Real target liver
0,Mouse to human,liver,All target genes,FlowTransOP,translated_liver_source_vs_random_non_liver_target,10000,1000,37933,0.615180253982544,6,liver_expression_mmd_fold0.csv,FlowTransOP
0,Mouse to human,liver,Orthologues,target_liver,real_target_liver_vs_random_non_liver_target,10000,1000,15666,0.06725049018859863,6,liver_expression_mmd_fold0.csv,Real target liver
0,Mouse to human,liver,Orthologues,FlowTransOP,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.6116441488265991,6,liver_expression_mmd_fold0.csv,FlowTransOP
0,Mouse to human,liver,All target genes,target_liver,real_target_liver_vs_random_non_liver_target,10000,1000,37933,0.04974555969238281,7,liver_expression_mmd_fold0.csv,Real target liver
0,Mouse to human,liver,All target genes,FlowTransOP,translated_liver_source_vs_random_non_liver_target,10000,1000,37933,0.6151723265647888,7,liver_expression_mmd_fold0.csv,FlowTransOP
0,Mouse to human,liver,Orthologues,target_liver,real_target_liver_vs_random_non_liver_target,10000,1000,15666,0.06867814064025879,7,liver_expression_mmd_fold0.csv,Real target liver
0,Mouse to human,liver,Orthologues,FlowTransOP,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.6116399168968201,7,liver_expression_mmd_fold0.csv,FlowTransOP
0,Mouse to human,liver,All target genes,target_liver,real_target_liver_vs_random_non_liver_target,10000,1000,37933,0.05020558834075928,8,liver_expression_mmd_fold0.csv,Real target liver
0,Mouse to human,liver,All target genes,FlowTransOP,translated_liver_source_vs_random_non_liver_target,10000,1000,37933,0.6151782274246216,8,liver_expression_mmd_fold0.csv,FlowTransOP
0,Mouse to human,liver,Orthologues,target_liver,real_target_liver_vs_random_non_liver_target,10000,1000,15666,0.06950199604034424,8,liver_expression_mmd_fold0.csv,Real target liver
0,Mouse to human,liver,Orthologues,FlowTransOP,translated_liver_source_vs_random_non_liver_target,10000,1000,15666,0.6116410493850708,8,liver_expression_mmd_fold0.csv,FlowTransOP
0,Mouse to human,liver,All target genes,target_liver,real_target_liver_vs_random_non_liver_target,10000,1000,37933,0.04797720909118652,9,liver_expression_mmd_fold0.csv,Real target liver
0,Mouse to human,liver,All target genes,FlowTransOP,translated_liver_source_vs_random_non_liver_target,10000,1000,37933,0.61516934633255,9,liver_expression_mmd_fold0.csv,FlowTransOP
