direction,feature_set,metric,baseline,n_folds,mean_flow,mean_baseline,mean_diff,lower_better,p_value,p_adj_holm,stars
Mouse to human,Orthologues,Centroid distance,permuted_both,10,89.1762321472168,383.0541046142578,-293.877872467041,TRUE,0.0029607685120743537,0.0029607685120743537,**
Mouse to human,Orthologues,Centroid cosine,permuted_both,10,0.9877781927585602,0.719496363401413,0.2682818293571472,FALSE,0.0029607685120743537,0.0029607685120743537,**
Mouse to human,Orthologues,Centroid Pearson,permuted_both,10,0.9321008205413819,-0.001818469725549218,0.9339192902669311,FALSE,0.0029607685120743537,0.0029607685120743537,**
Mouse to human,Orthologues,Centroid Spearman,permuted_both,10,0.9296048011523608,1.6777735712702896e-4,0.9294370237952337,FALSE,0.0029607685120743537,0.0029607685120743537,**
Mouse to human,Orthologues,Mean top-1 target cosine,permuted_both,10,0.9846113174086808,0.7310527981328965,0.25355851927578443,FALSE,0.0029607685120743537,0.0029607685120743537,**
Mouse to human,Orthologues,Mean top-k target cosine,permuted_both,10,0.9835886945438385,0.7268013184058666,0.2567873761379718,FALSE,0.0029607685120743537,0.0029607685120743537,**
Mouse to human,All target genes,Centroid distance,permuted_both,10,109.23676910400391,544.2898254394531,-435.05305633544924,TRUE,0.0029607685120743537,0.0029607685120743537,**
Mouse to human,All target genes,Centroid cosine,permuted_both,10,0.9855593740940094,0.6344366133213043,0.3511227607727051,FALSE,0.0029607685120743537,0.0029607685120743537,**
Mouse to human,All target genes,Centroid Pearson,permuted_both,10,0.9621977865695953,9.45182889699935e-4,0.9612526036798954,FALSE,0.0029607685120743537,0.0029607685120743537,**
Mouse to human,All target genes,Centroid Spearman,permuted_both,10,0.9579409477969308,8.1178076678701e-4,0.9571291670301438,FALSE,0.0029607685120743537,0.0029607685120743537,**
Mouse to human,All target genes,Mean top-1 target cosine,permuted_both,10,0.976490565713048,0.5959497082728148,0.38054085744023325,FALSE,0.0029607685120743537,0.0029607685120743537,**
Mouse to human,All target genes,Mean top-k target cosine,permuted_both,10,0.9751991061222554,0.5950152315920592,0.38018387453019614,FALSE,0.0029607685120743537,0.0029607685120743537,**
Human to mouse,Orthologues,Centroid distance,permuted_both,10,182.46117706298827,386.6847625732422,-204.2235855102539,TRUE,0.0029607685120743537,0.0029607685120743537,**
Human to mouse,Orthologues,Centroid cosine,permuted_both,10,0.9429217875003815,0.6948534786701203,0.2480683088302612,FALSE,0.0029607685120743537,0.0029607685120743537,**
Human to mouse,Orthologues,Centroid Pearson,permuted_both,10,0.711200624704361,2.1816380321979596e-4,0.7109824609011411,FALSE,0.0029607685120743537,0.0029607685120743537,**
Human to mouse,Orthologues,Centroid Spearman,permuted_both,10,0.7065414565952577,-0.0020855419455378292,0.7086269985407955,FALSE,0.0029607685120743537,0.0029607685120743537,**
Human to mouse,Orthologues,Mean top-1 target cosine,permuted_both,10,0.9906856169831753,0.7016452169501781,0.28904040003299714,FALSE,0.0029607685120743537,0.0029607685120743537,**
Human to mouse,Orthologues,Mean top-k target cosine,permuted_both,10,0.9901170774483681,0.6974106660532952,0.2927064113950729,FALSE,0.0029607685120743537,0.0029607685120743537,**
Human to mouse,All target genes,Centroid distance,permuted_both,10,203.8581527709961,508.8426879882812,-304.98453521728516,TRUE,0.0029607685120743537,0.0029607685120743537,**
Human to mouse,All target genes,Centroid cosine,permuted_both,10,0.9378537476062775,0.6255566060543061,0.31229714155197147,FALSE,0.0029607685120743537,0.0029607685120743537,**
Human to mouse,All target genes,Centroid Pearson,permuted_both,10,0.830124020576477,7.87935568951071e-4,0.829336085007526,FALSE,0.0029607685120743537,0.0029607685120743537,**
Human to mouse,All target genes,Centroid Spearman,permuted_both,10,0.8480413754285323,1.1717207500327892e-4,0.847924203353529,FALSE,0.0029607685120743537,0.0029607685120743537,**
Human to mouse,All target genes,Mean top-1 target cosine,permuted_both,10,0.9862898372507095,0.6000441966480017,0.3862456406027079,FALSE,0.0029607685120743537,0.0029607685120743537,**
Human to mouse,All target genes,Mean top-k target cosine,permuted_both,10,0.9856087072390318,0.5992163991045952,0.3863923081344366,FALSE,0.0029607685120743537,0.0029607685120743537,**
