fold,direction,feature_set,model_type,model_label,value,lower_better
5,Mouse to human,Orthologues,liver_test_orthologues,Liver test orthologues,0.20956814289093015,TRUE
5,Mouse to human,All target genes,liver_test_orthologues,Liver test orthologues,0.20956814289093015,TRUE
5,Human to mouse,All target genes,FlowTransOP,FlowTransOP,0.5822254419326782,TRUE
5,Human to mouse,Orthologues,FlowTransOP,FlowTransOP,0.6889283657073975,TRUE
5,Human to mouse,All target genes,permuted_both,Permuted both,1.4032303094863892,TRUE
5,Human to mouse,Orthologues,permuted_both,Permuted both,1.3984614610671997,TRUE
5,Mouse to human,All target genes,FlowTransOP,FlowTransOP,0.2877202033996582,TRUE
5,Mouse to human,Orthologues,FlowTransOP,FlowTransOP,0.30835986137390137,TRUE
5,Mouse to human,All target genes,permuted_both,Permuted both,1.243335843086243,TRUE
5,Mouse to human,Orthologues,permuted_both,Permuted both,1.2262613773345947,TRUE
6,Human to mouse,Orthologues,liver_test_orthologues,Liver test orthologues,0.2070894241333008,TRUE
6,Human to mouse,All target genes,liver_test_orthologues,Liver test orthologues,0.2070894241333008,TRUE
6,Mouse to human,Orthologues,liver_test_orthologues,Liver test orthologues,0.2070894241333008,TRUE
6,Mouse to human,All target genes,liver_test_orthologues,Liver test orthologues,0.2070894241333008,TRUE
6,Human to mouse,All target genes,FlowTransOP,FlowTransOP,0.5610621571540833,TRUE
6,Human to mouse,Orthologues,FlowTransOP,FlowTransOP,0.6600499153137207,TRUE
6,Human to mouse,All target genes,permuted_both,Permuted both,1.349284529685974,TRUE
6,Human to mouse,Orthologues,permuted_both,Permuted both,1.3529900312423706,TRUE
6,Mouse to human,All target genes,FlowTransOP,FlowTransOP,0.291642427444458,TRUE
6,Mouse to human,Orthologues,FlowTransOP,FlowTransOP,0.30865776538848877,TRUE
6,Mouse to human,All target genes,permuted_both,Permuted both,1.2425477504730225,TRUE
6,Mouse to human,Orthologues,permuted_both,Permuted both,1.2262520790100098,TRUE
7,Human to mouse,Orthologues,liver_test_orthologues,Liver test orthologues,0.21125125885009768,TRUE
7,Human to mouse,All target genes,liver_test_orthologues,Liver test orthologues,0.21125125885009768,TRUE
7,Mouse to human,Orthologues,liver_test_orthologues,Liver test orthologues,0.21125125885009768,TRUE
7,Mouse to human,All target genes,liver_test_orthologues,Liver test orthologues,0.21125125885009768,TRUE
7,Human to mouse,All target genes,FlowTransOP,FlowTransOP,0.5832582712173462,TRUE
7,Human to mouse,Orthologues,FlowTransOP,FlowTransOP,0.682841420173645,TRUE
7,Human to mouse,All target genes,permuted_both,Permuted both,1.4377148151397705,TRUE
7,Human to mouse,Orthologues,permuted_both,Permuted both,1.4118006229400637,TRUE
7,Mouse to human,All target genes,FlowTransOP,FlowTransOP,0.2960500717163086,TRUE
7,Mouse to human,Orthologues,FlowTransOP,FlowTransOP,0.32072901725769043,TRUE
7,Mouse to human,All target genes,permuted_both,Permuted both,1.2189574241638184,TRUE
7,Mouse to human,Orthologues,permuted_both,Permuted both,1.205488920211792,TRUE
8,Human to mouse,Orthologues,liver_test_orthologues,Liver test orthologues,0.20904946327209473,TRUE
8,Human to mouse,All target genes,liver_test_orthologues,Liver test orthologues,0.20904946327209473,TRUE
