fold,direction,feature_set,comparison,model_type,model_label,metric,value,lower_better
0,Mouse to human,All target genes,translated_liver_source_vs_liver_target,FlowTransOP,FlowTransOP,Centroid Spearman,0.9518808008672358,FALSE
0,Mouse to human,All target genes,translated_liver_source_vs_liver_target,FlowTransOP,FlowTransOP,Mean top-1 target cosine,0.9749585669338704,FALSE
0,Mouse to human,All target genes,translated_liver_source_vs_liver_target,FlowTransOP,FlowTransOP,Mean top-k target cosine,0.9741215042829512,FALSE
0,Mouse to human,Orthologues,translated_liver_source_vs_liver_target,FlowTransOP,FlowTransOP,Centroid distance,98.953338623046875,TRUE
0,Mouse to human,Orthologues,translated_liver_source_vs_liver_target,FlowTransOP,FlowTransOP,Centroid cosine,0.9851088523864746,FALSE
0,Mouse to human,Orthologues,translated_liver_source_vs_liver_target,FlowTransOP,FlowTransOP,Centroid Pearson,0.9208897352218628,FALSE
0,Mouse to human,Orthologues,translated_liver_source_vs_liver_target,FlowTransOP,FlowTransOP,Centroid Spearman,0.9200871209656192,FALSE
0,Mouse to human,Orthologues,translated_liver_source_vs_liver_target,FlowTransOP,FlowTransOP,Mean top-1 target cosine,0.9852688267469406,FALSE
0,Mouse to human,Orthologues,translated_liver_source_vs_liver_target,FlowTransOP,FlowTransOP,Mean top-k target cosine,0.983798757815361,FALSE
0,Mouse to human,All target genes,translated_liver_source_vs_liver_target,permuted_both,Permuted both,Centroid distance,549.901611328125,TRUE
0,Mouse to human,All target genes,translated_liver_source_vs_liver_target,permuted_both,Permuted both,Centroid cosine,0.6322227120399475,FALSE
0,Mouse to human,All target genes,translated_liver_source_vs_liver_target,permuted_both,Permuted both,Centroid Pearson,0.00110424659214913,FALSE
0,Mouse to human,All target genes,translated_liver_source_vs_liver_target,permuted_both,Permuted both,Centroid Spearman,4.7511823183634e-4,FALSE
0,Mouse to human,All target genes,translated_liver_source_vs_liver_target,permuted_both,Permuted both,Mean top-1 target cosine,0.5929196897625924,FALSE
0,Mouse to human,All target genes,translated_liver_source_vs_liver_target,permuted_both,Permuted both,Mean top-k target cosine,0.59216262139678,FALSE
0,Mouse to human,Orthologues,translated_liver_source_vs_liver_target,permuted_both,Permuted both,Centroid distance,385.4520568847656,TRUE
0,Mouse to human,Orthologues,translated_liver_source_vs_liver_target,permuted_both,Permuted both,Centroid cosine,0.7157604098320007,FALSE
0,Mouse to human,Orthologues,translated_liver_source_vs_liver_target,permuted_both,Permuted both,Centroid Pearson,-0.00566917192190885,FALSE
0,Mouse to human,Orthologues,translated_liver_source_vs_liver_target,permuted_both,Permuted both,Centroid Spearman,-0.00311071284621643,FALSE
0,Mouse to human,Orthologues,translated_liver_source_vs_liver_target,permuted_both,Permuted both,Mean top-1 target cosine,0.7279164720773696,FALSE
0,Mouse to human,Orthologues,translated_liver_source_vs_liver_target,permuted_both,Permuted both,Mean top-k target cosine,0.7237751073718071,FALSE
1,Human to mouse,Orthologues,source_liver_test_vs_target_liver_test,liver_test_orthologues,Liver test orthologues,Centroid distance,128.91799926757812,TRUE
1,Human to mouse,Orthologues,source_liver_test_vs_target_liver_test,liver_test_orthologues,Liver test orthologues,Centroid cosine,0.9723984003067015,FALSE
1,Human to mouse,Orthologues,source_liver_test_vs_target_liver_test,liver_test_orthologues,Liver test orthologues,Centroid Pearson,0.8566479086875916,FALSE
1,Human to mouse,Orthologues,source_liver_test_vs_target_liver_test,liver_test_orthologues,Liver test orthologues,Centroid Spearman,0.8521893956682656,FALSE
1,Human to mouse,Orthologues,source_liver_test_vs_target_liver_test,liver_test_orthologues,Liver test orthologues,Mean top-1 target cosine,0.9332161038279534,FALSE
1,Human to mouse,Orthologues,source_liver_test_vs_target_liver_test,liver_test_orthologues,Liver test orthologues,Mean top-k target cosine,0.9309301138818264,FALSE
1,Mouse to human,Orthologues,source_liver_test_vs_target_liver_test,liver_test_orthologues,Liver test orthologues,Centroid distance,128.91799926757812,TRUE
1,Mouse to human,Orthologues,source_liver_test_vs_target_liver_test,liver_test_orthologues,Liver test orthologues,Centroid cosine,0.9723984003067015,FALSE
1,Mouse to human,Orthologues,source_liver_test_vs_target_liver_test,liver_test_orthologues,Liver test orthologues,Centroid Pearson,0.8566479086875916,FALSE
1,Mouse to human,Orthologues,source_liver_test_vs_target_liver_test,liver_test_orthologues,Liver test orthologues,Centroid Spearman,0.8521893956682655,FALSE
1,Mouse to human,Orthologues,source_liver_test_vs_target_liver_test,liver_test_orthologues,Liver test orthologues,Mean top-1 target cosine,0.9446329363107682,FALSE
1,Mouse to human,Orthologues,source_liver_test_vs_target_liver_test,liver_test_orthologues,Liver test orthologues,Mean top-k target cosine,0.9423848672747612,FALSE
1,Human to mouse,All target genes,translated_liver_source_vs_liver_target,FlowTransOP,FlowTransOP,Centroid distance,187.4387969970703,TRUE
