species,metric,baseline,n_folds,mean_flow,mean_baseline,mean_diff,lower_better,p_value,p_adj_holm,stars
Human,Mean reconstruction Pearson,permuted_both,10,0.9745486966234607,-0.002304849739317727,0.9768535463627783,FALSE,0.0029607685120743537,0.0029607685120743537,**
Human,Variance reconstruction Pearson,permuted_both,10,0.6423384792694606,0.002681750184470615,0.63965672908499,FALSE,0.0029607685120743537,0.0029607685120743537,**
Mouse,Mean reconstruction Pearson,permuted_both,10,0.9346344714029858,0.001253666568601679,0.9333808048343841,FALSE,0.0029607685120743537,0.0029607685120743537,**
Mouse,Variance reconstruction Pearson,permuted_both,10,0.5977915667560897,0.004250231392344482,0.5935413353637452,FALSE,0.0029607685120743537,0.0029607685120743537,**
