direction,baseline,n_folds,mean_flow,mean_baseline,mean_diff,lower_better,p_value,p_adj_holm,stars
Mouse to human,permuted_both,10,0.43154499530792234,1.5436638951301576,-1.112118899822235,TRUE,0.0029607685120743537,0.0029607685120743537,**
Human to mouse,permuted_both,10,0.9684016585350037,1.529442298412323,-0.5610406398773193,TRUE,0.0029607685120743537,0.0029607685120743537,**
