species,metric,baseline,n_folds,mean_flow,mean_baseline,mean_diff,lower_better,p_value,p_adj_holm,stars
Human,Per-sample,permuted_both,10,0.8009449056337712,6.369628882817679e-4,0.8003079427454894,FALSE,0.0029607685120743537,0.0029607685120743537,**
Human,Gene-marginal mean,permuted_both,10,0.9599415564288125,7.63560498262637e-4,0.9591779959305499,FALSE,0.0029607685120743537,0.0029607685120743537,**
Human,Gene-marginal variance,permuted_both,10,0.605940149991435,-9.06452642806521e-4,0.6068466026342414,FALSE,0.0029607685120743537,0.0029607685120743537,**
Mouse,Per-sample,permuted_both,10,0.7312369285882663,8.18948233378805e-4,0.7304179803548875,FALSE,0.0029607685120743537,0.0029607685120743537,**
Mouse,Gene-marginal mean,permuted_both,10,0.8317386227817619,9.31373937487158e-4,0.8308072488442748,FALSE,0.0029607685120743537,0.0029607685120743537,**
Mouse,Gene-marginal variance,permuted_both,10,0.42040249535574753,0.002954172578304495,0.41744832277744304,FALSE,0.0029607685120743537,0.0029607685120743537,**
