,folder,variable,value
92,HT29_PC3,x_12,0.9999998979997499
93,MCF7_HA1E,x_12,0.9999999992607
94,MCF7_PC3,x_12,1.0000000223176202
95,PC3_HA1E,x_12,1.0000000113075465
96,A375_HT29,x_13,0.9999999767512067
97,A375_PC3,x_13,0.9999999629125516
98,HA1E_VCAP,x_13,0.9999999634826469
99,HT29_MCF7,x_13,1.0000000099861983
100,HT29_PC3,x_13,0.997331022579782
101,MCF7_HA1E,x_13,0.9999999860910778
102,MCF7_PC3,x_13,0.9999999681723095
103,PC3_HA1E,x_13,0.9975625265698154
104,A375_HT29,x_14,1.0000000336899904
105,A375_PC3,x_14,0.9999999878969386
106,HA1E_VCAP,x_14,0.9999999917376851
107,HT29_MCF7,x_14,0.9999999955520801
108,HT29_PC3,x_14,1.0000000003794367
109,MCF7_HA1E,x_14,1.0000000205975261
110,MCF7_PC3,x_14,0.999999970416821
111,PC3_HA1E,x_14,1.0000000084579659
112,A375_HT29,x_15,0.9999999648100634
113,A375_PC3,x_15,0.9979731188443801
114,HA1E_VCAP,x_15,1.0000000166709628
115,HT29_MCF7,x_15,1.0000000069136221
116,HT29_PC3,x_15,0.9999999852606076
117,MCF7_HA1E,x_15,0.999999961484904
118,MCF7_PC3,x_15,0.9999999729141844
119,PC3_HA1E,x_15,0.9999999922872607
120,A375_HT29,x_16,1.0000000009269643
121,A375_PC3,x_16,0.9999999553390302
122,HA1E_VCAP,x_16,0.9999999851894261
123,HT29_MCF7,x_16,1.000000002813525
124,HT29_PC3,x_16,0.9999999831238827
125,MCF7_HA1E,x_16,0.9999999865853051
126,MCF7_PC3,x_16,0.9999999648986377
127,PC3_HA1E,x_16,0.9999999819684102
128,A375_HT29,x_17,0.9999999837938202
129,A375_PC3,x_17,0.9999999751770774
130,HA1E_VCAP,x_17,0.9999999854153725
131,HT29_MCF7,x_17,0.9999999865940745
132,HT29_PC3,x_17,0.9999999893844657
133,MCF7_HA1E,x_17,0.9999999702571509
134,MCF7_PC3,x_17,0.9999999874495947
135,PC3_HA1E,x_17,1.0000000186202773
136,A375_HT29,x_18,1.0000000043255912
137,A375_PC3,x_18,0.9607775759645772
138,HA1E_VCAP,x_18,0.9999999956741017
139,HT29_MCF7,x_18,0.9999999806193822
140,HT29_PC3,x_18,0.9999999881094971
141,MCF7_HA1E,x_18,1.0000000107065412
142,MCF7_PC3,x_18,0.9999999949909095
143,PC3_HA1E,x_18,0.9999999685674309
144,A375_HT29,x_19,0.999999996678979
145,A375_PC3,x_19,0.9999999914150052
146,HA1E_VCAP,x_19,1.0000000224010221
147,HT29_MCF7,x_19,1.0000000296616678
148,HT29_PC3,x_19,0.9999999949738942
149,MCF7_HA1E,x_19,1.0000000018308286
150,MCF7_PC3,x_19,0.999999981627311
151,PC3_HA1E,x_19,1.0000000127672286
152,A375_HT29,x_20,0.9999999758511019
153,A375_PC3,x_20,0.9999999719595363
154,HA1E_VCAP,x_20,1.0000000068784236
155,HT29_MCF7,x_20,0.9999999937453035
156,HT29_PC3,x_20,1.0000000000825242
157,MCF7_HA1E,x_20,0.9999999960622385
158,MCF7_PC3,x_20,1.0000000071050363
159,PC3_HA1E,x_20,0.9999999997688012
160,A375_HT29,x_21,0.9999999689517729
161,A375_PC3,x_21,0.9999999904606591
162,HA1E_VCAP,x_21,0.9999999652633598
163,HT29_MCF7,x_21,0.9999999920167782
164,HT29_PC3,x_21,1.0000000257700083
165,MCF7_HA1E,x_21,0.9999999894294116
166,MCF7_PC3,x_21,0.9999999875686806
167,PC3_HA1E,x_21,1.000000020282118
168,A375_HT29,x_22,0.9999999935998468
169,A375_PC3,x_22,1.0000000385197187
170,HA1E_VCAP,x_22,1.000000004976254
171,HT29_MCF7,x_22,1.0000000182723778
172,HT29_PC3,x_22,0.9999999756868051
173,MCF7_HA1E,x_22,0.9999999747789524
174,MCF7_PC3,x_22,0.999999978047595
175,PC3_HA1E,x_22,1.000000024028269
176,A375_HT29,x_23,0.999999975521489
177,A375_PC3,x_23,1.0000000099353437
178,HA1E_VCAP,x_23,1.0000000039723043
179,HT29_MCF7,x_23,0.9999999809598826
180,HT29_PC3,x_23,1.0000000013575676
181,MCF7_HA1E,x_23,0.9999999883690417
182,MCF7_PC3,x_23,0.9999999796166171
183,PC3_HA1E,x_23,0.9999999970631009
184,A375_HT29,x_24,0.9999999995759234
185,A375_PC3,x_24,0.9999999728755722
186,HA1E_VCAP,x_24,0.9999999859485376
187,HT29_MCF7,x_24,0.9999999448933776
188,HT29_PC3,x_24,1.000000001296079
189,MCF7_HA1E,x_24,1.0000000315183124
190,MCF7_PC3,x_24,0.9999999988357765
191,PC3_HA1E,x_24,0.9999999710561885
192,A375_HT29,x_25,1.000000003393412
193,A375_PC3,x_25,0.9999999123909321
194,HA1E_VCAP,x_25,1.000000004147191
195,HT29_MCF7,x_25,1.0000000267196967
196,HT29_PC3,x_25,0.9999999623831758
197,MCF7_HA1E,x_25,0.9999999910245105
198,MCF7_PC3,x_25,1.0000000139363612
199,PC3_HA1E,x_25,0.9999999784052418
200,A375_HT29,x_26,1.0000000037640284
201,A375_PC3,x_26,0.9999999906408059
202,HA1E_VCAP,x_26,1.0000000189213352
203,HT29_MCF7,x_26,0.9999999954128401
204,HT29_PC3,x_26,0.9999999916284086
205,MCF7_HA1E,x_26,0.9999999839265841
206,MCF7_PC3,x_26,0.9999999582958095
207,PC3_HA1E,x_26,0.9999999916535344
208,A375_HT29,x_27,1.000000024519173
209,A375_PC3,x_27,0.9999999648897783
210,HA1E_VCAP,x_27,0.9999999986548703
211,HT29_MCF7,x_27,0.9999999889857453
212,HT29_PC3,x_27,1.000000021706011
213,MCF7_HA1E,x_27,0.9999999908613572
214,MCF7_PC3,x_27,1.0000000229070352
215,PC3_HA1E,x_27,1.000000000768728
216,A375_HT29,x_28,0.9999999952536149
217,A375_PC3,x_28,0.9999999993402374
218,HA1E_VCAP,x_28,1.0000000223924461
219,HT29_MCF7,x_28,1.0000000009881729
220,HT29_PC3,x_28,0.9999999751783525
221,MCF7_HA1E,x_28,1.0000000090153425
222,MCF7_PC3,x_28,0.9999999954516389
223,PC3_HA1E,x_28,0.9999999938879168
224,A375_HT29,x_29,1.0000000051649904
225,A375_PC3,x_29,0.9999999867007571
226,HA1E_VCAP,x_29,0.9999999985725343
227,HT29_MCF7,x_29,1.0000000159709905
228,HT29_PC3,x_29,0.9999999883083569
229,MCF7_HA1E,x_29,0.9999999893615577
230,MCF7_PC3,x_29,0.9999999859422402
231,PC3_HA1E,x_29,1.0000000077654236
232,A375_HT29,x_30,0.9999999998814738
233,A375_PC3,x_30,1.000000038537789
234,HA1E_VCAP,x_30,0.9999999697174572
235,HT29_MCF7,x_30,0.9999999975235894
236,HT29_PC3,x_30,1.0000000247051335
237,MCF7_HA1E,x_30,0.9999999722042341
238,MCF7_PC3,x_30,0.9999999481457098
239,PC3_HA1E,x_30,0.9999999968324006
