,folder,variable,value
0,A375_HT29,x_1,1.0000000089906704
1,A375_PC3,x_1,0.9999999833898306
2,HA1E_VCAP,x_1,0.9999999950274817
3,HT29_MCF7,x_1,1.000000011939423
4,HT29_PC3,x_1,1.0000000178384558
5,MCF7_HA1E,x_1,1.000000036219067
6,MCF7_PC3,x_1,1.0000000031267986
7,PC3_HA1E,x_1,1.000000007835866
8,A375_HT29,x_2,1.000000010895345
9,A375_PC3,x_2,0.999999989132452
10,HA1E_VCAP,x_2,0.9999999997074978
11,HT29_MCF7,x_2,0.9963747327159085
12,HT29_PC3,x_2,0.9999999742785471
13,MCF7_HA1E,x_2,0.9999999734529331
14,MCF7_PC3,x_2,1.0000000095137793
15,PC3_HA1E,x_2,1.0000000154894553
16,A375_HT29,x_3,0.9999999855171756
17,A375_PC3,x_3,1.0000000088342709
18,HA1E_VCAP,x_3,1.0000000176087607
19,HT29_MCF7,x_3,1.0000000311662485
20,HT29_PC3,x_3,1.0000000217256186
21,MCF7_HA1E,x_3,0.9999999778570567
22,MCF7_PC3,x_3,0.9999999835037289
23,PC3_HA1E,x_3,0.9999999910647619
24,A375_HT29,x_4,1.0000000197047982
25,A375_PC3,x_4,0.9999999259642715
26,HA1E_VCAP,x_4,1.0000000310907926
27,HT29_MCF7,x_4,0.9999999851195155
28,HT29_PC3,x_4,1.0000000239215556
29,MCF7_HA1E,x_4,0.9999998976736797
30,MCF7_PC3,x_4,0.9999999775258893
31,PC3_HA1E,x_4,0.9999999902007326
32,A375_HT29,x_5,1.0000000284778292
33,A375_PC3,x_5,0.999999900111473
34,HA1E_VCAP,x_5,1.0000000358006758
35,HT29_MCF7,x_5,1.000000008033448
36,HT29_PC3,x_5,0.9999999813408288
37,MCF7_HA1E,x_5,0.9999999819157858
38,MCF7_PC3,x_5,0.9999999894776399
39,PC3_HA1E,x_5,0.9999999395922907
40,A375_HT29,x_6,0.9999999856549141
41,A375_PC3,x_6,1.0000000303653698
42,HA1E_VCAP,x_6,0.999999989368694
43,HT29_MCF7,x_6,1.000000018724612
44,HT29_PC3,x_6,0.9999999800510803
45,MCF7_HA1E,x_6,0.9999999581841821
46,MCF7_PC3,x_6,0.9999999916037644
47,PC3_HA1E,x_6,1.0000000104886524
48,A375_HT29,x_7,0.9999999689263286
49,A375_PC3,x_7,0.9999999803836218
50,HA1E_VCAP,x_7,0.9999999935905478
51,HT29_MCF7,x_7,1.000000038332936
52,HT29_PC3,x_7,0.999999984628866
53,MCF7_HA1E,x_7,1.0000000092223322
54,MCF7_PC3,x_7,0.9999999887636298
55,PC3_HA1E,x_7,0.9999993782788908
56,A375_HT29,x_8,0.9999999800675625
