,itearation,variable,value
36,1,x_8,0.9999999988097025
37,2,x_8,0.9999999437381251
38,3,x_8,1.0000000528890811
39,4,x_8,0.9999999998902974
40,0,x_9,1.000000021163958
41,1,x_9,0.999999988766181
42,2,x_9,0.9999999854243072
43,3,x_9,0.9999999741900729
44,4,x_9,1.0000000253465495
45,0,x_10,0.9999999374628735
46,1,x_10,1.0000000067315264
47,2,x_10,1.0000000200027268
48,3,x_10,1.0000000146679486
49,4,x_10,1.000000002482592
50,0,x_11,0.9999999895867432
51,1,x_11,1.0000000063163266
52,2,x_11,0.9999999217442076
53,3,x_11,1.0000000190508045
54,4,x_11,1.0000000117622272
55,0,x_12,0.9999999584676111
56,1,x_12,0.9999999783638326
57,2,x_12,0.9999999084992585
58,3,x_12,0.9999999983957427
59,4,x_12,0.9999999939773853
60,0,x_13,1.0000000157184434
61,1,x_13,1.000000021930186
62,2,x_13,0.9999999758889956
63,3,x_13,0.9999999040634617
64,4,x_13,0.9999999555698881
65,0,x_14,1.000000003180001
66,1,x_14,0.9999999757968342
67,2,x_14,0.9999999957034522
68,3,x_14,0.9999997047870097
69,4,x_14,0.9999999887418891
70,0,x_15,1.0000000170395822
71,1,x_15,0.9999999876714313
72,2,x_15,0.9999998698094098
73,3,x_15,0.9999999500114267
74,4,x_15,1.0000000065644743
75,0,x_16,1.0000000298965845
76,1,x_16,1.0000000002929796
77,2,x_16,0.9999997962822058
78,3,x_16,0.9999999866218888
79,4,x_16,0.9999999840177304
80,0,x_17,1.0000000202267765
81,1,x_17,0.9999999864155731
82,2,x_17,0.9999998638791522
83,3,x_17,0.9999997829119592
84,4,x_17,1.0000000368943014
85,0,x_18,0.9999999684048
86,1,x_18,1.000000020487461
87,2,x_18,0.9999999088387734
88,3,x_18,0.9999991909721876
89,4,x_18,0.9999999826761429
90,0,x_19,1.0000000385442815
91,1,x_19,1.0000000059148566
92,2,x_19,0.9999999383807983
93,3,x_19,0.9999999756393455
94,4,x_19,1.0000000293183686
95,0,x_20,0.9999999964987958
96,1,x_20,0.9999999827493639
97,2,x_20,0.9999998970514014
98,3,x_20,0.9999999774665208
99,4,x_20,0.9999999779991359
100,0,x_21,0.9999999946492754
101,1,x_21,0.9999999518175581
102,2,x_21,0.9999986560119426
103,3,x_21,0.9999999733751126
104,4,x_21,1.0000000220680998
105,0,x_22,0.9999999483204315
106,1,x_22,0.9999999257809247
107,2,x_22,0.9999992386892881
108,3,x_22,1.000000004440718
109,4,x_22,1.0000000064133623
110,0,x_23,0.999999956774283
111,1,x_23,0.9999999965986596
112,2,x_23,0.9999994524917885
113,3,x_23,0.9999999718312117
114,4,x_23,1.0000000068090011
115,0,x_24,0.9999999582975213
116,1,x_24,0.9999999740286647
117,2,x_24,0.999999443411554
118,3,x_24,0.999999999282144
119,4,x_24,1.0000000447200799
120,0,x_25,0.9999999683616954
121,1,x_25,0.9974164883146358
122,2,x_25,0.9999992043278898
123,3,x_25,0.9999999509029932
124,4,x_25,0.9999999731714999
125,0,x_26,0.9999999927079272
126,1,x_26,0.9999999930709588
127,2,x_26,0.99999968297855
128,3,x_26,0.9999999954164585
129,4,x_26,0.9999999808939607
130,0,x_27,0.999999972176333
131,1,x_27,1.0000000180812458
132,2,x_27,0.9999997195186
133,3,x_27,0.9999999748548418
134,4,x_27,1.0000000102795812
135,0,x_28,0.9999999905248009
136,1,x_28,0.9999999603294633
137,2,x_28,0.9999993393231096
138,3,x_28,0.9999999955260422
139,4,x_28,0.9999999828181662
140,0,x_29,0.9999999842304522
141,1,x_29,1.0000000111400122
142,2,x_29,0.9999996881253123
143,3,x_29,0.9999999943694041
144,4,x_29,0.9999999512468785
145,0,x_30,1.0000000046958506
146,1,x_30,0.9999999822773533
147,2,x_30,0.9999995803754081
148,3,x_30,0.9999999905467449
149,4,x_30,0.999999962655582
0,0,x_1,1.0000000135526863
1,1,x_1,0.99999995141114
2,2,x_1,1.000000008228514
3,3,x_1,1.0000000089076442
4,4,x_1,1.0000000052086155
5,0,x_2,1.0000000006146406
6,1,x_2,0.999999990267737
7,2,x_2,1.0000000361863872
8,3,x_2,1.0000000138567726
9,4,x_2,1.0000000177203978
10,0,x_3,0.9999999790914263
11,1,x_3,0.9999999812401438
12,2,x_3,1.0000000367072202
13,3,x_3,1.0000000052301814
14,4,x_3,1.0000000536196418
15,0,x_4,0.9999999829576733
16,1,x_4,0.9999999970384031
17,2,x_4,0.9981218744565494
18,3,x_4,1.0000000219601186
19,4,x_4,0.9999999932790582
20,0,x_5,1.0000000064762307
21,1,x_5,0.999999989040332
22,2,x_5,1.0000000073365272
23,3,x_5,0.9999999885262154
24,4,x_5,1.0000000015191433
25,0,x_6,0.9999999539370299
26,1,x_6,1.0000000034979926
27,2,x_6,1.0000000171663581
28,3,x_6,1.0000000222275702
29,4,x_6,1.0000000049297064
30,0,x_7,1.0000000030960652
31,1,x_7,0.9999999782870458
32,2,x_7,0.9999999888588752
33,3,x_7,0.9976947085243847
34,4,x_7,0.9999999594041814
35,0,x_8,0.9999999789047685
36,1,x_8,1.0000000067877415
37,2,x_8,0.9978293976110477
38,3,x_8,0.9999999550395904
39,4,x_8,0.9999999513070995
40,0,x_9,1.000000004065045
41,1,x_9,1.0000000153166393
42,2,x_9,0.9999999948580238
43,3,x_9,0.9999999909212702
44,4,x_9,0.999999994923648
45,0,x_10,1.0000000360688475
46,1,x_10,1.0000000148300043
47,2,x_10,0.9999999999035832
48,3,x_10,0.9974871214931307
49,4,x_10,0.9999999884506304
50,0,x_11,0.9999999732205381
51,1,x_11,0.9999999722068752
52,2,x_11,0.9999999700193728
53,3,x_11,0.9999999977514017
54,4,x_11,0.9999999493428764
55,0,x_12,0.9999999994846499
56,1,x_12,0.9999999523915487
57,2,x_12,1.0000000212472322
58,3,x_12,0.9999999839185519
59,4,x_12,1.0000000102679538
60,0,x_13,1.000000008646299
61,1,x_13,1.0000000078472016
62,2,x_13,1.0000000103441566
63,3,x_13,0.9999999937158337
64,4,x_13,0.999999996044107
65,0,x_14,0.9999999855111812
66,1,x_14,0.9999999967182127
67,2,x_14,0.9999999796566417
68,3,x_14,0.9999999906437156
69,4,x_14,1.0000000034928223
70,0,x_15,0.9999999970370504
71,1,x_15,0.9999999827355419
72,2,x_15,0.9999999581736958
73,3,x_15,0.9974039716614737
74,4,x_15,0.999999995299291
75,0,x_16,0.9999999816979401
76,1,x_16,1.0000000051363562
77,2,x_16,0.9999999849935357
78,3,x_16,0.9999999972552902
79,4,x_16,0.9999999966256633
80,0,x_17,0.9999999931537529
81,1,x_17,1.0000000096051684
82,2,x_17,0.9999999799983588
83,3,x_17,0.999999972831267
84,4,x_17,0.999999987124101
85,0,x_18,0.9999997811189351
86,1,x_18,0.999999987759118
87,2,x_18,1.00000002003464
88,3,x_18,0.9999999582059231
89,4,x_18,0.9999999655610771
90,0,x_19,0.9999998756011863
91,1,x_19,0.9999999525646834
92,2,x_19,0.9999999715401834
93,3,x_19,0.9999999873982729
94,4,x_19,0.9999999903901443
95,0,x_20,0.9999999707427196
96,1,x_20,1.0000000029375364
97,2,x_20,0.9999999837251418
98,3,x_20,1.0000000008389716
99,4,x_20,1.000000003955325
100,0,x_21,1.0000000379139804
101,1,x_21,0.9999999919145244
102,2,x_21,0.999999984290589
103,3,x_21,0.9999999785950074
104,4,x_21,1.0000000271772342
105,0,x_22,1.0000000153495747
106,1,x_22,0.9999999730263195
107,2,x_22,0.9999999971937455
108,3,x_22,1.0000000026923996
109,4,x_22,1.0000000087698806
110,0,x_23,0.9999999802244586
111,1,x_23,0.9999999905399858
112,2,x_23,0.9999999772014652
113,3,x_23,1.0000000181185689
114,4,x_23,1.0000000164584928
115,0,x_24,1.0000000108461442
116,1,x_24,1.0000000150426267
117,2,x_24,0.9999999981153033
118,3,x_24,0.9999999815760964
119,4,x_24,1.0000000002916622
120,0,x_25,0.9999999852506677
121,1,x_25,1.000000024456405
122,2,x_25,1.0000000005953091
123,3,x_25,1.0000000035320962
124,4,x_25,0.9999999863088722
125,0,x_26,0.9999999723056561
126,1,x_26,1.0000000266995959
127,2,x_26,0.9999999815534427
128,3,x_26,1.0000000029301053
129,4,x_26,1.0000000090807533
130,0,x_27,0.9999999734135264
131,1,x_27,1.0000000200829335
132,2,x_27,1.0000000006538368
133,3,x_27,0.9999999891096489
134,4,x_27,0.9999999559115821
135,0,x_28,0.9999999725993013
136,1,x_28,0.9999999992764869
137,2,x_28,0.9999999337433638
138,3,x_28,0.9999999894004152
139,4,x_28,1.0000000131698286
140,0,x_29,0.9999999767602211
141,1,x_29,0.999999993590745
142,2,x_29,0.9999999455117795
143,3,x_29,0.9999999962123595
144,4,x_29,1.0000000239742912
145,0,x_30,0.9999999976147375
146,1,x_30,0.9999999929113915
147,2,x_30,1.0000000123295807
148,3,x_30,0.9999999628363477
149,4,x_30,0.9999999968973462
0,0,x_1,1.0000000290469417
1,1,x_1,1.000000002260528
2,2,x_1,1.0000000233546373
3,3,x_1,1.000000009535483
4,4,x_1,0.9999999777661174
5,0,x_2,0.9999999710592825
6,1,x_2,1.0000000170360983
7,2,x_2,0.9999999997009414
8,3,x_2,1.0000000073732025
9,4,x_2,0.9999999784478718
10,0,x_3,0.9999999503023471
11,1,x_3,1.0000000527012356
12,2,x_3,1.0000000083956349
13,3,x_3,0.9999999776773448
14,4,x_3,0.9999999847643241
15,0,x_4,0.9999999824212414
16,1,x_4,0.999999982894012
17,2,x_4,1.0000000283003603
18,3,x_4,1.0000000204692423
19,4,x_4,0.9999999896349846
20,0,x_5,0.9999999898167147
21,1,x_5,0.9970099908552222
22,2,x_5,0.9999999927570592
23,3,x_5,0.9999999931795002
24,4,x_5,0.9999999800127445
25,0,x_6,1.0000000133190505
26,1,x_6,1.0000000051906743
27,2,x_6,0.9999999926192766
28,3,x_6,1.0000000313093746
29,4,x_6,0.9999999983618904
30,0,x_7,1.0000000139566985
31,1,x_7,0.9971822370757022
32,2,x_7,0.9999999783249683
33,3,x_7,0.999999834225703
34,4,x_7,0.9999999880824172
35,0,x_8,1.0000000045138584
36,1,x_8,0.9999999549506252
37,2,x_8,0.9999999488389121
