,GPU,CPU
0,0.4639004,0.09632369999999923
1,0.3932770999999988,0.0950413000000001
2,0.39315689999999925,0.09602119999999914
3,0.38798509999999986,0.09532090000000082
4,0.39127050000000096,0.08894369999999974
5,0.4046801000000002,0.09453040000000001
6,0.4166735999999993,0.09186790000000045
7,0.4410236999999988,0.09371799999999908
8,0.45178239999999903,0.09053440000000279
9,0.48240829999999946,0.0856925000000004
10,0.5190663999999998,0.08847949999999827
11,0.43578660000000013,0.09335189999999827
12,0.4353967999999995,0.09426630000000102
13,0.4083439999999996,0.09168770000000137
14,0.47166130000000095,0.09185880000000068
15,0.4705762999999976,0.09244920000000079
16,0.4075558000000008,0.08787849999999864
17,0.4836960999999995,0.09118840000000006
18,0.42428110000000174,0.0911104999999992
19,0.4806192000000067,0.09142130000000037
20,0.4914582999999979,0.09357669999999985
21,0.5050218000000015,0.09434439999999711
22,0.42860480000000223,0.09204730000000438
23,0.5186020000000013,0.0884793999999971
24,0.49828409999999934,0.1019536999999957
25,0.4556359999999984,0.09211770000000286
26,0.47644869999999884,0.09401510000000002
27,0.4723528999999971,0.09171010000000024
28,0.4836981999999992,0.09106640000000255
29,0.4779643999999976,0.09363929999999954
30,0.4422658999999953,0.15130669999999924
31,0.4295838000000032,0.14786149999999765
32,0.4643006000000014,0.1659070999999983
33,0.5009580999999983,0.14094319999999527
34,0.43095679999999703,0.1456471999999991
35,0.4350094999999996,0.1455709999999968
36,0.4732272999999978,0.14815910000000088
37,0.4635134999999977,0.1436163999999991
38,0.4665363999999954,0.1483818000000099
39,0.5343792000000036,0.147796299999996
40,0.4695312000000058,0.14919140000000652
41,0.4409219000000064,0.14189900000000932
42,0.4956469000000112,0.14263139999999908
43,0.4972284999999914,0.15035550000000342
44,0.4349670000000003,0.1601275999999956
45,0.43363089999999715,0.15457380000000853
46,0.5105659999999972,0.14369259999999429
47,0.435041499999997,0.14190669999999272
48,0.45996260000001143,0.14506039999999132
49,0.5683004999999923,0.14803149999998766
50,0.462011099999998,0.14308939999999382
51,0.527282900000003,0.15058980000000588
52,0.4465360000000089,0.144692500000005
53,0.4415276000000006,0.1596190000000064
54,0.4989743000000004,0.14858460000000662
55,0.46595829999999694,0.14568230000000426
56,0.4471831000000037,0.15299269999999865
57,0.4846484999999916,0.1463073000000037
58,0.4532185000000055,0.15213289999999802
59,0.43189279999999997,0.14267259999999737
60,0.5705442000000005,0.2635599000000042
61,0.43610590000000116,0.2582222999999999
62,0.4314620999999903,0.25363029999999753
63,0.49711410000000456,0.25776770000000226
64,0.4289722999999981,0.26758320000000424
65,0.4234581999999989,0.25919259999999156
66,0.4480905000000064,0.2621033000000068
67,0.49621710000000974,0.272036099999994
68,0.4476537000000036,0.2641181000000046
69,0.44252020000000414,0.25244569999999555
70,0.4647014000000098,0.25867439999998965
71,0.5020885999999933,0.2523055000000056
72,0.416467499999996,0.2546755999999988
73,0.4407236999999924,0.25138330000000053
74,0.5347406000000063,0.2516135999999989
